Channel 1,Channel 2
3875.2,3263.67
3875.22,3263.75
3875.1,3263.84
3875.02,3263.31
3875.07,3263.5
3874.93,3263.48
3874.93,3263.72
3875.02,3263.31
3875.05,3263.26
3874.95,3263.31
3875.07,3264.33
3875.61,3265.38
3876.15,3266.26
3876.32,3265.87
3876.27,3265.84
3876.1,3265.65
3876.03,3264.97
3876.05,3264.84
3876.15,3265.14
3876.15,3265.36
3876.25,3265.38
3876.32,3265.04
3876,3264.99
3876.22,3264.84
3876.15,3264.75
3876.05,3264.87
3875.88,3264.77
3875.95,3264.84
3875.71,3264.55
3875.71,3264.31
3875.68,3264.26
3875.63,3264.23
3875.49,3264.16
3875.37,3264.01
3875.51,3263.87
3875.37,3263.75
3875.2,3263.65
3875.44,3263.7
3874.85,3263.7
3874.98,3263.48
3874.8,3263.48
3874.93,3263.33
3875.07,3263.31
3874.95,3263.26
3874.83,3263.09
3875.02,3262.77
3874.78,3262.89
3874.66,3262.87
3874.83,3262.72
3874.73,3262.7
3874.63,3262.57
3874.76,3262.62
3874.54,3262.6
3874.78,3262.4
3874.83,3262.26
3874.78,3262.6
3874.78,3263.04
3875.44,3264.14
3875.71,3265.21
3876.27,3265.87
3876.56,3266.16
3876.44,3265.84
3876.27,3265.63
3876.37,3265.5
3876.27,3265.63
3876.27,3265.65
3876.42,3265.8
3876.59,3265.75
3876.32,3265.94
3876.37,3265.84
3876.54,3265.7
3876.46,3265.75
3876.59,3265.99
3876.71,3265.65
3876.64,3266.06
3876.56,3265.82
3876.81,3265.8
3876.39,3265.82
3876.32,3265.31
3876.39,3265.19
3876.05,3264.94
3876.07,3265.01
3876,3264.89
3875.59,3265.01
3875.73,3264.55
3875.44,3264.58
3875.61,3264.23
3875.51,3264.53
3875.56,3264.5
3875.27,3264.36
3875.63,3264.38
3875.34,3264.28
3875.34,3264.33
3875.44,3264.58
3875.54,3264.55
3875.51,3264.43
3875.51,3264.28
3875.71,3264.21
3875.78,3264.62
3875.93,3265.11
3876.54,3266.11
3876.95,3267.02
3877.39,3267.5
3877.56,3267.36
3877.54,3267.38
3877.29,3266.77
3877.22,3266.58
3877.27,3266.8
3877.27,3266.8
3877.05,3266.7
3877.39,3266.48
3877.15,3266.26
3876.81,3266.14
3876.78,3266.14
3876.88,3266.43
3876.88,3266.38
3877.15,3266.04
3876.95,3265.84
3876.81,3265.53
3876.95,3265.89
3876.98,3265.8
3877.03,3265.8
3877.03,3265.94
3876.76,3265.75
3877.05,3265.89
3876.83,3265.6
3877.03,3265.53
3877,3265.89
3876.88,3265.6
3876.95,3265.72
3877.1,3265.6
3877.2,3265.6
3877,3265.31
3876.98,3265.58
3877.1,3265.38
3877.15,3265.48
3876.81,3265.41
3877.05,3265.36
3877.1,3265.36
3877.29,3265.48
3877.17,3265.5
3877.27,3265.82
3877.66,3266.89
3878.32,3268.53
3878.91,3269.51
3879.39,3269.82
3879.37,3269.63
3879.49,3269.75
3879.25,3269.09
3879.22,3268.9
3878.88,3268.92
3878.96,3268.95
3878.86,3268.68
3878.83,3268.53
3878.66,3268.31
3878.44,3268.21
3878.44,3268.12
3878.56,3268.19
3878.56,3268.12
3878.34,3268.09
3878.52,3267.94
3878.27,3267.82
3878.22,3267.68
3878.27,3267.53
3878.2,3267.43
3878.22,3267.7
3878.37,3267.63
3878.44,3267.8
3878.2,3267.53
3878.13,3267.5
3877.88,3267.26
3877.88,3267.31
3877.95,3266.94
3878.15,3267.21
3878.13,3267.26
3877.95,3267.24
3877.71,3267.04
3877.88,3267.14
3877.81,3267.04
3877.93,3267.11
