Channel 1,Channel 2
3897.39,3281.57
3897.29,3281.49
3897.44,3281.35
3897.58,3281.52
3897.44,3281.35
3897.61,3281.49
3897.31,3281.15
3897.44,3280.96
3897,3280.96
3897.17,3280.83
3896.8,3280.52
3897,3280.42
3897.34,3280.37
3897.19,3280.4
3897.19,3280.52
3896.92,3280.35
3896.66,3280.1
3896.53,3279.81
3896.88,3279.74
3896.66,3279.52
3896.31,3279.39
3896.31,3279.39
3896.31,3279.27
3895.97,3279.1
3896.02,3278.86
3895.92,3278.74
3896.04,3278.88
3895.8,3278.91
3895.75,3278.61
3895.97,3278.56
3895.75,3278.61
3895.83,3279.42
3896.63,3281.01
3897.34,3282.25
3897.85,3282.4
3897.8,3282.5
3897.66,3282.06
3897.19,3281.54
3897.27,3281.62
3897.05,3281.79
3897.44,3281.84
3897.12,3281.71
3897.19,3281.74
3897.12,3281.52
3897.02,3281.27
3896.88,3281.01
3897,3281.08
3896.92,3280.81
3897.02,3280.96
3897.09,3280.86
3896.9,3280.79
3896.9,3280.66
3896.78,3280.4
3896.66,3280.27
3896.66,3280.18
3896.78,3280
3896.61,3279.74
3896.56,3279.74
3896.36,3279.64
3896.58,3279.91
3896.46,3279.49
3896.56,3279.39
3896.44,3279.42
3896.48,3279.3
3896.14,3279.08
3896.17,3279.05
3896.12,3278.83
3896.17,3278.93
3895.9,3278.76
3896,3278.81
3895.97,3278.64
3896.12,3278.64
3896.09,3278.66
3895.8,3278.52
3895.95,3278.39
3895.73,3278
3895.68,3278.13
3896.07,3279.71
3896.9,3281.49
3897.73,3282.67
3898.22,3282.69
3897.92,3282.28
3897.51,3282.08
3897.51,3281.84
3897.41,3281.79
3897.39,3282.01
3897.66,3282.42
3897.51,3282.28
3897.39,3281.76
3897.27,3281.37
3896.85,3281.3
3896.8,3281.35
3896.88,3281.37
3896.83,3281.47
3896.85,3281.54
3896.75,3281.25
3896.97,3281.42
3896.73,3281.23
3896.7,3281.35
3896.51,3281.15
3896.53,3281.05
3896.44,3280.88
3896.56,3281.03
3896.39,3280.83
3896.44,3280.88
3896.44,3280.88
3896.34,3280.62
3896.07,3280.64
3896.29,3280.74
3896.26,3280.49
3896.36,3280.49
3896.26,3280.62
3896.48,3280.52
3896.44,3280.37
3896.44,3280.4
3896.22,3280.27
3896.26,3279.88
3896.22,3279.91
3896.04,3279.88
3896.31,3279.54
3896.14,3279.47
3895.87,3279.47
3896.12,3279.42
3896.22,3279.25
3895.97,3279.57
3896.51,3280.52
3897.61,3282.45
3898.14,3283.33
3898.44,3283.25
3898.39,3283.01
3898.27,3282.54
3898.02,3282.06
3897.73,3282.03
3897.85,3282.42
3898.29,3282.59
3898.19,3282.62
3898.32,3282.54
3898.07,3282.23
3897.97,3282.15
3897.83,3281.96
3897.85,3282.06
3897.95,3282.13
3898.1,3282.23
3898.17,3282.25
3898,3282.25
3898,3282.2
3898.07,3281.84
3897.85,3281.76
3897.85,3281.47
3897.53,3281.35
3897.27,3281.18
3897.14,3281.08
3897.36,3280.79
3897.12,3281.01
3897.27,3280.81
3897.05,3280.71
3897.07,3280.64
3896.95,3280.44
3897,3280.27
3896.95,3280.03
3896.9,3280
3896.9,3280.2
3896.7,3279.64
3896.66,3279.49
3896.61,3279.54
3896.46,3279.64
3896.53,3279.61
3896.44,3279.76
3896.53,3279.74
3896.75,3280.96
3897.68,3282.3
3898.32,3283.62
3898.66,3283.91
3898.68,3283.89
3898.32,3283.18
3898.17,3283.2
3898.12,3283.3
3897.8,3283.11
3897.97,3283.15
3898.1,3283.11
3898.07,3283.3
3897.83,3282.96
3897.56,3282.52
3897.44,3282.25
3897.58,3282.52
3897.49,3282.67
3897.46,3282.37
3897.19,3282.08
3897.17,3281.98
3897.02,3282.01
3897.09,3281.86
3896.88,3281.64
3896.58,3281.52
3896.7,3281.69
3896.61,3281.37
3896.7,3281.49
3896.68,3281.27
3896.7,3281.42
3896.63,3281.4
3896.36,3281.2
3896.41,3281.1
3896.36,3280.96
3896.31,3280.96
3896.44,3280.98
3896.29,3280.83
3896.29,3280.98
3896.26,3280.59
3896.19,3280.4
3896.07,3280.05
3895.9,3280.2
3896.19,3280.05
3896.14,3280.18
3896.26,3280.15
3896.09,3280.08
3895.85,3279.83
3895.95,3279.61
3895.7,3279.66
3895.73,3279.57
3895.58,3279.52
3895.7,3279.39
3895.46,3279.37
3895.65,3279.76
3896.14,3281.32
3897.22,3282.96
3898,3283.89
3898.34,3283.96
3898.46,3283.94
3898.24,3283.37
3898,3283.18
3897.8,3283.25
3897.97,3283.4
3898.07,3283.74
3898.12,3283.45
3898.1,3283.3
3897.8,3283.08
3897.8,3282.69
3897.78,3282.84
3897.63,3282.89
3897.58,3282.76
3897.71,3282.52
3897.68,3282.62
3897.66,3282.45
3897.49,3282.13
3897.44,3281.88
3897.05,3281.67
3896.95,3281.59
3896.92,3281.67
3896.8,3281.59
3897.07,3281.45
3896.7,3281.2
3896.66,3281.1
3896.88,3281.13
3896.97,3281.05
3896.97,3280.98
3896.85,3281.05
3896.75,3281.05
3896.8,3281.01
3896.8,3280.59
3896.7,3280.57
3896.53,3280.3
3896.63,3280.35
3896.56,3280.32
3896.41,3280.22
3896.53,3280.13
3896.34,3279.83
3896.22,3279.71
3896.17,3279.98
3896.19,3280.03
3896.24,3279.69
3896.24,3280.03
3896.31,3279.88
3896.19,3280.05
3896.17,3279.91
3896.26,3279.71
3896.07,3280.42
3896.61,3282.62
3897.95,3283.86
3898.49,3284.5
3898.41,3284.57
3898.27,3284.03
3898.02,3284.03
3897.66,3283.67
3897.61,3283.84
3897.8,3283.94
3897.68,3284.08
3897.83,3284.08
3897.71,3284.08
3897.49,3283.62
3897.56,3283.54
3897.46,3283.59
3897.09,3283.86
3897.49,3283.52
3897.61,3283.64
3897.39,3283.35
3897.46,3283.25
3897.36,3283.23
3897.39,3282.79
3897.31,3282.47
3897.12,3282.71
3897,3282.59
3897.12,3282.3
3896.85,3282.42
3896.95,3282.28
3896.97,3282.15
3896.88,3281.91
3896.9,3281.69
3896.68,3281.86
3896.9,3281.42
3896.75,3281.91
3896.85,3281.69
3896.68,3281.42
3896.8,3281.42
3896.9,3281.45
3896.9,3281.03
3896.73,3281.27
3896.73,3281.25
3896.63,3281.01
3896.78,3281.25
3896.8,3281.15
3896.73,3280.93
3896.63,3280.62
3896.26,3280.91
3896.83,3282.45
3897.66,3283.69
3898.66,3284.96
3899.02,3285.28
3898.9,3284.94
3898.8,3284.67
3898.39,3284.16
3898.49,3284.13
3898.22,3283.98
3898.58,3284.13
3898.56,3284.01
3898.32,3283.94
3898.36,3283.84
3898.17,3283.59
3898.12,3283.76
3898.02,3283.79
3898.14,3283.74
3898,3283.45
3898.19,3283.69
3897.92,3283.15
3897.92,3283.28
3897.88,3283.25
3897.75,3282.86
3897.61,3282.84
3897.44,3282.37
3897.34,3282.35
3897.41,3282.2
3897.58,3282.32
3897.71,3282.35
3897.46,3282.18
3897.44,3281.93
3897.19,3281.76
3897.14,3281.93
3897.14,3281.76
3897.24,3281.69
3897.24,3281.47
3897.27,3281.45
3897,3281.2
3896.92,3281.05
3896.9,3280.98
3896.78,3280.93
3896.58,3280.49
3896.7,3280.49
3896.68,3280.42
3896.51,3280.15
3896.46,3280.32
3896.34,3280.13
3896.31,3280.05
3896.34,3279.81
3896.09,3279.71
3896.07,3279.61
3896.29,3280.32
3897.34,3282.03
3898.12,3283.59
3898.66,3283.89
3898.56,3283.74
3898.73,3283.62
3898.51,3283.2
3898.17,3282.91
3898.19,3282.74
3898.27,3282.93
3898.44,3283.18
3898.41,3283.08
3898.34,3282.98
3898.05,3282.76
3898.1,3282.74
3898.14,3282.64
3897.92,3282.79
3898.34,3282.57
3898.27,3282.52
3898,3282.52
3898.17,3282.35
3898.19,3282.5
3897.88,3282.13
3897.88,3281.69
3897.66,3281.91
3897.83,3281.86
3897.61,3281.67
3897.58,3281.52
3897.68,3281.47
3897.39,3281.37
3897.39,3281.08
3897.17,3281.03
3897.05,3281.08
3897.17,3281.13
3897.14,3281.15
3897.14,3281.15
3897.05,3280.93
3897.24,3280.88
3897.07,3280.66
3896.88,3280.54
3896.97,3280.54
3896.7,3280.62
3896.73,3280.32
3896.73,3280.1
3896.8,3280.27
3896.88,3280.03
3896.75,3280.25
3896.68,3279.93
3896.58,3280.42
3896.85,3279.83
3896.58,3279.86
3896.34,3279.64
3896.56,3280.88
3897.88,3282.71
3898.54,3284.03
3899.05,3284.38
3899.05,3284.35
3899.1,3283.94
3898.71,3283.5
3898.68,3283.2
3898.49,3283.18
3898.61,3283.45
3898.73,3283.15
3898.41,3283.18
3898.56,3283.03
3898.39,3282.91
3898.39,3282.81
3898.1,3282.76
3898.24,3282.84
3898.58,3282.59
3898.41,3282.81
3898.46,3282.71
3898.32,3282.62
3898.36,3282.57
3897.95,3282.25
3898.19,3282.03
3897.83,3282.06
3898,3281.93
3897.95,3281.79
3897.75,3281.64
3897.71,3281.45
3897.53,3281.4
3897.49,3281.37
3897.56,3281.05
3897.56,3280.79
3897.58,3280.81
3897.53,3280.88
3897.49,3280.83
3897.31,3280.59
3897.24,3280.69
3897.41,3280.52
3897.29,3280.59
3897.29,3280.4
3897.31,3280.42
3897.27,3280.03
3897.07,3280.13
3897.24,3280.03
3896.95,3280.44
3897.34,3281.93
3898.12,3283.33
3899.07,3284.16
3899.39,3284.35
3899.37,3284.18
3899.17,3283.37
3898.9,3283.28
3898.71,3283.25
3898.58,3283.4
3898.75,3283.37
3898.83,3283.35
3898.85,3283.08
3898.73,3283.15
3898.68,3282.91
3898.49,3283.15
3898.63,3282.84
3898.34,3283.03
3898.41,3283.11
3898.56,3283.03
3898.51,3282.84
3898.44,3282.74
3898.41,3282.67
3898.29,3282.2
3898.24,3282.01
3898.22,3281.79
3898.02,3281.84
3898.05,3281.74
3898.12,3281.62
3898,3281.86
