Channel 1,Channel 2
3853.393555,3256.860352
3853.540039,3256.494141
3853.295898,3256.787109
3853.393555,3256.567383
3853.515625,3256.494141
3853.417969,3256.298828
3853.344727,3256.542969
3853.369141,3256.347656
3853.295898,3256.274414
3853.466797,3256.225586
3853.393555,3256.152344
3853.369141,3256.152344
3853.662109,3256.152344
3853.515625,3256.005859
3853.613281,3255.957031
3853.198242,3255.834961
3853.442383,3255.859375
3853.417969,3255.834961
3853.393555,3255.566406
3853.393555,3255.541992
3853.466797,3255.590820
3853.393555,3255.541992
3853.613281,3255.541992
3853.417969,3255.761719
3853.588867,3255.346680
3853.540039,3255.395508
3853.588867,3255.297852
3853.491211,3255.053711
3853.613281,3255.297852
3853.515625,3255.004883
3853.369141,3255.151367
3853.149414,3255.102539
3853.369141,3254.809570
3853.320313,3254.882813
3853.100586,3254.467773
3852.783203,3254.443359
3852.709961,3254.443359
3852.954102,3255.541992
3853.417969,3256.176758
3853.417969,3256.250000
3853.686523,3256.665039
3853.393555,3256.347656
3853.564453,3256.445313
3853.637695,3256.225586
3853.613281,3256.542969
3853.759766,3256.713867
3853.613281,3256.762695
3853.637695,3256.494141
3853.662109,3256.152344
3853.857422,3256.176758
3853.710938,3256.079102
3853.857422,3256.005859
3853.808594,3256.030273
3853.979492,3256.005859
3854.052734,3255.761719
3853.857422,3255.957031
3853.979492,3255.859375
3854.077148,3255.615234
3853.930664,3255.761719
3854.052734,3255.541992
3853.979492,3255.444336
3854.052734,3255.078125
3853.930664,3255.200195
3854.052734,3254.809570
3853.784180,3255.053711
3854.052734,3254.931641
3853.710938,3254.882813
3853.881836,3254.809570
3853.759766,3255.078125
3853.881836,3254.882813
3853.613281,3254.956055
3853.735352,3254.736328
3853.808594,3254.565430
3853.857422,3254.467773
3853.442383,3254.345703
3853.808594,3254.394531
3853.881836,3254.614258
3853.735352,3254.248047
3853.320313,3254.199219
3853.515625,3254.174805
3853.564453,3254.101563
3853.344727,3254.125977
3853.515625,3254.614258
3853.833008,3255.517578
3854.272461,3255.908203
3854.516602,3256.127930
3854.516602,3255.834961
3854.296875,3256.005859
3854.394531,3255.932617
3854.394531,3256.079102
3854.541016,3256.079102
3854.589844,3256.201172
3854.614258,3256.225586
3854.687500,3256.054688
3854.589844,3255.810547
3854.614258,3255.810547
3854.394531,3255.664063
3854.443359,3255.761719
3854.223633,3255.834961
3854.565430,3255.541992
3854.150391,3255.615234
3854.223633,3255.419922
3854.199219,3255.395508
3854.223633,3255.322266
3854.028320,3255.004883
3853.881836,3254.980469
3854.028320,3255.004883
3853.881836,3255.029297
3854.077148,3255.517578
3854.345703,3255.761719
3854.321289,3255.761719
3854.418945,3255.810547
3854.467773,3255.639648
3854.492188,3255.590820
3854.345703,3255.322266
3854.418945,3255.541992
3854.418945,3255.566406
3854.199219,3255.419922
3854.370117,3255.468750
3854.345703,3255.297852
3854.272461,3255.395508
3854.052734,3254.931641
3854.223633,3255.078125
3854.101563,3255.468750
3854.443359,3256.225586
3854.589844,3256.811523
3855.053711,3256.860352
3854.931641,3256.909180
3854.711914,3256.762695
3854.785156,3256.738281
3854.833984,3256.909180
3854.907227,3256.738281
3854.833984,3257.104492
3854.980469,3256.665039
3854.858398,3256.835938
3855.102539,3256.591797
3855.053711,3256.542969
3854.809570,3256.616211
3854.907227,3256.835938
3854.833984,3256.884766
3855.395508,3257.080078
3855.371094,3256.958008
3855.053711,3257.104492
3855.273438,3256.909180
3855.224609,3256.567383
3855.151367,3256.616211
3855.224609,3256.225586
3855.029297,3256.494141
3855.297852,3256.176758
3854.980469,3255.908203
3855.249023,3255.737305
3854.858398,3255.883789
3855.126953,3255.664063
3855.053711,3255.395508
3855.102539,3255.249023
3854.736328,3255.102539
3855.029297,3255.102539
3854.931641,3255.249023
3855.029297,3255.029297
3854.809570,3255.078125
3854.980469,3254.931641
3854.711914,3255.004883
3855.004883,3254.882813
3855.029297,3255.126953
3855.200195,3254.907227
3854.760742,3254.614258
3854.956055,3254.907227
3855.029297,3254.809570
3854.809570,3254.711914
3854.687500,3254.882813
3855.102539,3254.687500
3855.004883,3254.833984
3855.004883,3255.151367
3855.249023,3255.615234
3855.371094,3256.616211
3855.761719,3256.933594
3856.127930,3257.299805
3856.079102,3257.373047
3856.127930,3256.958008
3856.079102,3256.909180
3855.859375,3256.909180
3856.127930,3256.933594
3856.103516,3257.080078
3856.201172,3257.153320
3856.152344,3256.958008
3856.274414,3256.811523
3856.152344,3256.640625
3856.250000,3256.811523
3856.494141,3256.884766
3856.250000,3257.055664
3856.274414,3256.762695
3856.323242,3256.884766
3856.494141,3256.591797
3856.323242,3256.665039
3856.250000,3256.591797
3856.518555,3256.396484
3856.347656,3256.298828
3856.250000,3256.518555
3856.274414,3256.469727
3856.152344,3256.127930
3856.225586,3256.274414
3856.152344,3256.298828
3856.030273,3256.250000
3856.396484,3256.054688
3856.030273,3255.981445
3856.054688,3256.372070
3856.323242,3255.981445
3856.396484,3256.201172
