Channel 1,Channel 2
3880.47,3271.09
3881.18,3272.66
3881.88,3274.15
3882.62,3274.1
3882.69,3274.15
3882.5,3273.56
3882.1,3273.32
3882.28,3273.22
3882.1,3273.29
3882.2,3273.07
3882.28,3273.12
3881.96,3273.02
3882.42,3272.8
3882.1,3272.68
3882.25,3272.46
3881.93,3272.41
3881.93,3272.53
3881.81,3272.34
3881.76,3272.34
3881.59,3272.41
3881.67,3272
3881.32,3271.83
3881.47,3271.83
3881.23,3271.7
3881.27,3271.7
3881.18,3271.39
3881.05,3271.09
3881.05,3270.65
3880.74,3270.87
3880.76,3270.58
3880.86,3270.61
3880.62,3270.65
3880.83,3270.61
3880.76,3270.29
3880.52,3270.34
3880.52,3270.04
3880.4,3269.97
3880.59,3269.78
3880.42,3269.68
3880.42,3269.53
3880.4,3269.58
3880.22,3269.48
3880.15,3269.36
3880.1,3269.31
3880.18,3268.99
3880.03,3269.31
3880.25,3270.83
3881.18,3271.97
3881.84,3273.02
3882.2,3273.32
3882.08,3273.29
3882.06,3272.83
3881.91,3272.51
3881.64,3272.31
3881.47,3272.34
3881.54,3272.36
3881.54,3272.41
3881.64,3272.29
3881.74,3272.27
3881.69,3272.34
3881.47,3271.97
3881.64,3272.24
3881.52,3272.22
3881.52,3272.14
3881.4,3271.85
3881.2,3271.88
3881.08,3271.44
3880.91,3271.44
3880.96,3271.26
3880.69,3271
3880.66,3270.92
3880.52,3270.9
3880.54,3270.87
3880.49,3270.73
3880.59,3270.73
3880.49,3270.68
3880.52,3270.53
3880.3,3270.53
3880.52,3270.46
3880.42,3270.07
3880.18,3270.12
3880.35,3269.9
3880.35,3269.8
3880,3269.78
3880.25,3269.7
3880.3,3269.19
3880.25,3269.26
3880.05,3269.14
3880.25,3269.21
3880.4,3269.97
3880.91,3271.24
3881.76,3272.95
3882.32,3273.51
3882.4,3273.61
3882.4,3273.54
3882.32,3272.63
3881.86,3272.61
3881.93,3272.36
3882.03,3272.56
3881.91,3272.58
3882.1,3272.44
3882.1,3272.46
3881.81,3272
3881.64,3272.09
3881.74,3272.02
3881.91,3271.88
3881.67,3272.02
3881.47,3272.02
3881.88,3271.85
3881.69,3271.66
3881.4,3271.58
3881.37,3271.44
3881.37,3271.04
3881.13,3271.04
3881.08,3270.73
3880.88,3270.7
3881.27,3270.46
3881.23,3270.36
3881.1,3270.61
3881.08,3270.14
3881.1,3270.12
3881.05,3270.21
