Channel 1,Channel 2,Channel 3,Channel 4
9725,111,111,0
9716,115,113,0
9704,120,115,0
9745,115,115,0
9746,111,114,0
9734,106,113,0
9726,110,112,0
9753,106,111,0
9748,102,110,0
9734,102,109,0
9752,102,109,0
9748,96,108,0
9725,102,107,0
9720,102,107,0
9712,102,106,0
9743,102,106,0
9754,93,104,0
9736,93,102,0
9737,99,101,0
9728,100,101,0
9752,99,100,0
9744,93,99,0
9740,96,98,0
9748,96,98,0
9716,96,98,0
9718,99,97,0
9716,100,98,0
9747,99,97,0
9743,96,97,0
9754,93,96,0
9736,96,96,0
9760,96,96,0
9762,93,96,0
9737,93,96,0
9745,92,95,0
9752,92,95,0
9752,91,95,0
9741,91,94,0
9723,93,94,0
9744,92,94,0
9779,91,93,0
9757,89,93,0
9754,84,92,0
9761,84,91,0
9759,84,90,0
9769,82,89,0
9770,82,88,0
9770,82,88,0
9768,79,87,0
9763,77,86,0
9739,77,85,0
9745,77,84,0
9762,75,83,0
9751,75,82,0
9762,74,80,0
9775,74,79,0
9761,74,78,0
9773,74,78,0
9779,73,77,0
9777,68,76,0
9755,73,75,0
9762,74,75,0
9738,74,74,0
9759,74,74,0
9784,74,74,0
9777,74,73,0
9782,74,73,0
9773,63,72,0
9770,63,72,0
9785,63,71,0
9780,63,70,0
9777,59,69,0
9776,59,68,0
9758,60,67,0
9757,63,67,0
9765,63,66,0
9787,60,65,0
9769,60,64,0
9781,59,63,0
9780,59,62,0
9776,60,61,0
9772,60,60,0
9795,60,60,0
9793,59,60,0
9787,59,60,0
9791,59,59,0
9768,60,60,0
9741,60,60,0
9761,60,60,0
9785,56,59,0
9796,55,59,0
9774,56,58,0
9789,55,58,0
9786,51,57,0
9797,50,57,0
9783,50,56,0
9792,49,55,0
9792,49,55,0
9772,50,54,0
9761,51,54,0
9787,51,53,0
9808,50,52,0
9806,49,52,0
9776,49,51,0
9797,47,50,0
9789,47,50,0
9796,47,49,0
9792,44,48,0
9796,44,48,0
9803,44,48,0
9781,44,47,0
9767,44,47,0
9791,45,47,0
9794,44,46,0
9789,44,46,0
9807,42,45,0
9785,44,45,0
9793,44,44,0
9813,43,44,0
9798,43,44,0
9809,42,43,0
9789,43,43,0
9766,43,43,0
9766,45,43,0
9779,47,43,0
9795,45,43,0
9787,45,43,0
9768,47,44,0
9764,47,44,0
9749,49,44,0
9735,51,45,0
9724,57,46,0
9704,68,47,0
9690,70,49,0
9678,70,51,0
9646,72,53,0
9634,87,56,0
9651,101,60,0
9653,112,64,0
9651,132,70,0
9672,146,76,0
9667,158,84,0
9678,158,91,0
9672,164,99,0
9685,164,107,0
9694,164,114,0
9704,164,122,0
9688,164,128,0
9682,164,134,0
9725,164,140,0
9726,158,146,0
9731,154,151,0
9737,151,154,0
9740,148,156,0
9721,142,157,1
9737,132,156,0
9749,115,153,0
9754,111,150,0
9752,110,147,0
9731,105,143,0
9720,105,139,0
9726,105,135,0
9749,105,131,0
9730,105,127,0
9741,99,123,0
9740,99,119,0
9742,96,115,0
9749,96,111,0
9764,95,108,0
9766,94,104,0
9768,87,101,0
9764,87,99,0
9736,94,98,0
9739,95,97,0
9742,94,97,0
9756,94,96,0
9772,87,95,0
9767,87,93,0
9751,85,92,0
9758,80,91,0
9756,80,90,0
9751,80,89,0
9765,78,87,0
9773,78,86,0
9764,78,85,0
9737,80,85,0
9741,80,84,0
9780,80,83,0
9773,78,82,0
9763,73,81,0
9759,73,79,0
9758,77,79,0
9757,78,78,0
9765,77,78,0
9778,73,77,0
9763,73,77,0
9774,72,76,0
9765,72,76,0
9757,73,75,0
9739,73,75,0
9757,73,75,0
9764,73,74,0
9768,73,74,0
9764,73,73,0
9788,72,73,0
9773,72,73,0
9785,71,73,0
9769,71,72,0
9780,68,72,0
9784,68,71,0
9768,68,71,0
9757,68,71,0
9759,68,70,0
9782,68,70,0
9794,67,70,0
9771,65,69,0
9787,63,69,0
9790,56,67,0
9797,54,66,0
9797,54,65,0
9792,52,64,0
9801,52,62,0
9780,52,61,0
9768,52,60,0
9768,54,59,0
9771,54,58,0
9814,49,57,0
9801,46,55,0
9791,45,54,0
9797,45,52,0
9802,44,51,0
9808,39,49,0
9796,39,48,0
9809,39,47,0
9812,39,46,0
9804,35,45,0
9778,39,44,0
9770,39,43,0
9793,39,43,0
9801,35,41,0
9794,35,40,0
9797,39,39,0
9803,39,39,0
9794,39,38,0
9807,35,38,0
9811,35,37,0
9813,35,37,0
9790,35,37,0
9767,39,37,0
9791,42,37,0
9802,42,37,0
9810,39,37,0
9806,35,37,0
9806,34,37,0
9799,34,37,0
9805,33,37,0
9794,33,36,0
9800,34,36,0
9810,31,35,0
9822,31,35,0
9774,34,35,0
9782,36,35,0
9780,36,35,0
9812,34,35,0
9813,31,34,0
9812,30,33,0
9812,30,33,0
9799,31,32,0
9825,31,32,0
9829,26,32,0
9807,26,31,0
9818,24,31,0
9814,24,30,0
9788,24,29,0
9775,24,29,0
9811,24,28,0
9822,24,27,0
9809,24,27,0
9828,24,26,0
9811,24,26,0
9819,24,25,0
9819,22,25,0
9820,18,24,0
9824,18,23,0
9805,22,23,0
9798,22,22,0
9784,25,22,0
9793,25,22,0
9835,25,23,0
9805,25,23,0
9808,25,23,0
9813,25,23,0
9822,23,23,0
9827,23,23,0
9820,17,22,0
9822,17,22,0
9828,16,21,0
9797,23,22,0
9778,28,22,0
9778,28,23,0
9802,28,23,0
9770,28,23,0
9759,28,23,0
9762,31,24,0
9726,34,24,0
9712,39,25,0
9715,58,28,0
9703,58,30,0
9683,66,33,0
9689,74,37,0
9668,77,41,0
9711,110,47,0
9693,121,53,0
9685,124,60,0
9697,125,66,0
9710,126,73,0
9701,133,80,0
9706,133,87,0
9719,133,94,0
9747,133,100,0
9732,133,106,0
9732,133,111,0
9731,130,116,0
9722,126,120,0
9755,125,124,0
9757,117,126,0
9748,114,127,1
9772,105,126,0
9754,104,124,0
9753,104,123,0
9765,89,120,0
9754,88,117,0
9763,83,114,0
9766,82,111,0
9765,82,107,0
9741,82,104,0
9765,81,100,0
9770,79,97,0
9770,73,93,0
9764,72,90,0
9782,71,87,0
9772,71,84,0
9772,71,82,0
9781,71,79,0
9794,70,77,0
9777,66,76,0
9774,66,74,0
9739,66,73,0
9775,64,72,0
9788,64,71,0
9785,62,69,0
9771,62,68,0
9783,61,67,0
9767,61,66,0
9780,59,65,0
9788,59,64,0
9790,56,63,0
9778,56,62,0
9768,58,62,0
9746,59,61,0
9785,58,60,0
9774,58,60,0
9783,56,59,0
9764,56,59,0
9784,56,58,0
9776,58,58,0
9771,58,57,0
9804,58,57,0
9789,56,57,0
9787,53,57,0
9776,58,56,0
9757,60,57,0
9795,60,57,0
9783,53,57,0
9787,53,56,0
9769,53,56,0
9783,53,56,0
9785,53,55,0
9808,52,55,0
9815,51,55,0
9797,49,54,0
9802,49,54,0
9769,49,53,0
9779,51,53,0
9767,53,53,0
9786,51,52,0
9808,50,52,0
9788,50,51,0
9802,49,51,0
9822,48,50,0
9800,39,49,0
9808,36,48,0
9808,34,47,0
9813,34,46,0
9773,36,45,0
9794,36,44,0
9778,42,43,0
9807,36,43,0
9820,34,41,0
9791,34,40,0
9810,29,39,0
9820,29,37,0
9805,29,36,0
9811,28,34,0
9813,28,33,0
9821,28,32,0
9831,26,32,0
9802,26,31,0
9759,29,31,0
9802,29,30,0
9824,26,30,0
9826,25,29,0
9819,23,28,0
9814,23,27,0
9824,22,26,0
9807,22,26,0
9816,22,25,0
9822,20,25,0
9821,17,24,0
9797,17,23,0
9794,20,23,0
9802,22,22,0
9820,20,22,0
9810,20,21,0
9807,20,21,0
9818,20,20,0
9809,22,20,0
9809,26,20,0
9836,26,21,0
9817,26,21,0
9826,20,21,0
9811,25,21,0
9799,26,21,0
9804,27,22,0
9827,26,23,0
9828,25,23,0
9823,19,23,0
9821,19,23,0
9820,18,23,0
9800,18,22,0
9834,16,22,0
9826,15,22,0
9827,13,21,0
9824,13,20,0
9802,13,19,0
9804,15,19,0
9827,13,18,0
9842,12,17,0
9825,11,16,0
9824,12,15,0
9817,12,14,0
9810,12,14,0
9810,12,13,0
9787,12,13,0
9763,12,12,0
9758,19,13,0
9727,26,13,0
9716,26,14,0
9720,32,15,0
9705,32,17,0
9686,49,19,0
9709,73,23,0
9667,78,27,0
9676,109,34,0
9689,116,41,0
9687,120,48,0
9697,127,56,0
9704,131,64,0
9671,132,72,0
9672,139,80,0
9692,144,88,0
9716,144,96,0
9726,144,104,0
9729,144,112,0
9737,144,119,0
9741,139,125,0
9776,139,130,0
9767,132,133,0
9754,120,134,1
9744,110,133,0
9750,107,133,0
9717,107,131,0
9754,99,129,0
9773,95,127,0
9760,92,124,0
9758,86,120,0
9774,82,116,0
9766,82,111,0
9781,78,107,0
9788,76,102,0
9781,70,98,0
9788,70,93,0
9761,75,89,0
9758,75,86,0
9755,75,84,0
9793,70,82,0
9781,63,79,0
9784,62,76,0
9788,55,74,0
9769,55,71,0
9792,55,69,0
9789,55,67,0
9795,52,65,0
9787,49,63,0
9774,52,62,0
9765,52,61,0
9778,55,60,0
9806,52,58,0
9801,49,56,0
9782,49,55,0
9796,49,53,0
9783,49,52,0
9778,49,51,0
9805,49,51,0
9801,47,50,0
9800,47,50,0
9787,49,49,0
9762,49,49,0
9772,53,50,0
9806,49,49,0
9791,45,49,0
9777,45,48,0
9806,45,48,0
9789,47,48,0
9801,45,47,0
9801,45,47,0
9805,36,46,0
9803,35,45,0
9770,36,44,0
9784,45,44,0
9783,47,44,0
9795,45,44,0
9821,41,43,0
9791,41,43,0
9816,41,42,0
9812,35,41,0
9809,35,41,0
9820,35,40,0
9808,33,39,0
9819,31,38,0
9815,28,37,0
9804,28,37,0
9783,28,36,0
9815,27,36,0
9811,25,34,0
9810,25,33,0
9814,24,31,0
9813,24,30,0
9823,23,29,0
9812,24,28,0
9825,23,27,0
9830,22,26,0
9822,22,25,0
9845,21,25,0
9807,22,24,0
9811,23,24,0
9812,23,23,0
9829,22,23,0
9847,22,23,0
9810,22,22,0
9816,20,22,0
9820,16,21,0
9813,16,21,0
9827,16,20,0
9816,16,20,0
9836,16,19,0
9827,16,19,0
9839,16,19,0
9815,20,19,0
9828,16,18,0
9835,9,17,0
9826,9,16,0
9840,9,15,0
9820,10,15,0
9822,10,14,0
9840,9,13,0
9839,9,13,0
9854,8,12,0
9843,1,11,0
9834,1,10,0
9796,2,9,0
9797,2,8,0
9836,2,7,0
9846,1,6,0
9834,1,5,0
9845,0,4,0
9829,0,4,0
9826,2,3,0
9848,0,3,0
9849,-3,2,0
9841,-3,1,0
9836,0,0,0
9813,0,0,0
9816,2,0,0
9839,0,0,0
9850,0,0,0
9838,-2,0,0
9832,-2,0,0
9838,-2,0,0
9846,-2,0,0
9840,-2,0,0
9845,-3,-1,0
9835,-3,-1,0
9851,-3,-1,0
9819,-2,-1,0
9812,-2,-1,0
9830,-2,-1,0
9841,-2,-1,0
9836,-2,-1,0
9829,-2,-2,0
9841,-2,-2,0
9844,-2,-2,0
9826,-2,-2,0
9852,-4,-2,0
9851,-4,-2,0
9851,-5,-2,0
9847,-5,-2,0
9820,-5,-2,0
9824,0,-2,0
9845,-5,-2,0
9859,-5,-3,0
9833,-5,-3,0
9839,-5,-3,0
9848,-8,-3,0
9844,-8,-4,0
9843,-8,-4,0
9835,-8,-5,0
9819,-8,-5,0
9773,-7,-5,0
9748,-3,-5,0
9768,1,-5,0
9771,3,-4,0
9756,3,-4,0
9733,3,-4,0
9742,17,-2,0
9713,63,2,0
9697,65,6,0
9719,68,11,0
9722,80,17,0
9722,88,23,0
9717,94,30,0
9718,103,38,0
9687,114,46,0
9741,114,54,0
9749,114,62,0
9735,114,69,0
9755,114,76,0
9770,114,84,0
9767,114,91,0
9791,114,98,0
9781,101,100,0
9787,95,102,0
9768,87,104,0
9770,81,104,0
9767,69,102,0
9797,69,101,0
9799,68,98,0
9789,66,95,0
9814,66,92,0
9791,55,88,0
9801,49,84,0
9797,47,79,0
9816,45,75,0
9807,45,70,0
9799,39,65,0
9778,39,61,0
9770,39,57,0
9795,39,54,0
9812,39,51,0
9810,37,49,0
9794,37,47,0
9826,37,45,0
9814,35,43,0
9836,35,41,0
9826,29,39,0
9816,26,37,0
9773,26,36,0
9791,29,35,0
9787,37,34,0
9824,26,34,0
9818,24,33,0
9814,22,31,0
9817,22,30,0
9806,22,29,0
9811,22,28,0
9817,20,27,0
9829,20,26,0
9818,19,25,0
9802,20,24,0
9799,22,23,0
9797,25,23,0
9835,22,23,0
9819,19,22,0
9812,19,21,0
9816,20,21,0
9841,20,20,0
9825,19,20,0
9832,19,20,0
9827,18,20,0
9828,17,19,0
9790,17,19,0
9786,18,19,0
9803,20,19,0
9831,17,19,0
9824,12,18,0
9818,12,17,0
9833,12,17,0
9812,12,16,0
9831,11,16,0
9833,9,15,0
9830,9,14,0
9818,9,14,0
9817,12,13,0
9800,18,13,0
9802,18,13,0
9812,18,13,0
9844,18,13,0
9830,12,13,0
9835,12,12,0
9829,7,12,0
9836,6,12,0
9830,6,11,0
9850,6,11,0
9845,6,11,0
9854,6,10,0
9841,6,10,0
9831,5,10,0
9807,5,9,0
9831,5,9,0
9852,1,7,0
9842,0,6,0
9844,0,5,0
9853,-5,4,0
9848,-6,3,0
9850,-8,2,0
9862,-9,1,0
9855,-12,0,0
9837,-9,-1,0
9838,-8,-1,0
9812,-6,-2,0
9853,-8,-3,0
9866,-12,-4,0
9849,-13,-6,0
9839,-13,-7,0
9848,-12,-8,0
9859,-13,-8,0
9852,-14,-9,0
9858,-14,-10,0
9875,-16,-11,0
9861,-17,-11,0
9867,-17,-12,0
9840,-16,-12,0
9824,-16,-13,0
9847,-16,-13,0
9857,-17,-14,0
9862,-21,-15,0
9872,-21,-15,0
9844,-21,-16,0
9864,-22,-16,0
9864,-23,-17,0
9862,-25,-18,0
9868,-26,-19,0
9864,-26,-20,0
9829,-26,-20,0
9843,-26,-21,0
9859,-23,-21,0
9876,-26,-22,0
9860,-26,-23,0
9848,-26,-23,0
9876,-26,-24,0
9865,-28,-24,0
9862,-26,-25,0
9851,-26,-25,0
9889,-26,-25,0
9872,-26,-25,0
9873,-28,-26,0
9830,-26,-26,0
9833,-24,-25,0
9867,-26,-25,0
9866,-29,-26,0
9861,-29,-26,0
9873,-29,-26,0
9861,-29,-26,0
9856,-29,-27,0
9867,-29,-27,0
9874,-30,-27,0
9868,-31,-27,0
9861,-31,-28,0
9839,-30,-28,0
9832,-25,-28,0
9860,-25,-28,0
9881,-25,-28,0
9878,-30,-28,0
9872,-30,-28,0
9884,-31,-28,0
9869,-32,-29,0
9870,-32,-29,0
9882,-33,-29,0
9882,-34,-29,0
9868,-34,-30,0
9860,-33,-30,0
9864,-33,-30,0
9874,-34,-30,0
9882,-36,-31,0
9879,-38,-32,0
9879,-42,-33,0
9877,-41,-34,0
9870,-38,-34,0
9878,-41,-35,0
9883,-41,-36,0
9887,-42,-36,0
9872,-42,-37,0
9840,-41,-38,0
9847,-38,-38,0
9839,-38,-38,0
9835,-38,-38,0
9817,-38,-39,0
9791,-36,-39,0
9783,-34,-39,0
9789,-11,-37,0
9762,-4,-34,0
9751,-3,-32,0
9741,1,-29,0
9747,19,-25,0
9723,45,-20,0
9704,47,-14,0
9724,53,-7,0
9745,74,0,0
9745,85,8,0
9746,89,16,0
9760,89,25,0
9763,89,33,0
9787,89,41,0
9779,89,50,0
9789,89,56,0
9800,89,62,0
9775,89,69,0
9767,76,74,0
9783,73,77,0
9809,69,79,0
9817,61,80,0
9807,57,80,0
9822,53,79,0
9813,49,76,0
9813,47,73,0
9833,36,70,0
9832,29,66,0
9832,27,62,0
9799,27,58,0
9813,23,53,0
9795,23,49,0
9801,23,44,0
9835,23,41,0
9842,23,38,0
9837,19,34,0
9817,19,31,0
9830,14,29,0
9824,12,26,0
9850,6,23,0
9846,4,20,0
9849,4,18,0
9835,4,16,0
9820,6,15,0
9814,6,13,0
9845,1,12,0
9857,1,11,0
9823,1,9,0
9851,-1,7,0
9838,-1,6,0
9838,-2,4,0
9849,-2,3,0
9838,-2,2,0
9841,-5,1,0
9824,-2,0,0
9809,-2,0,0
9809,-2,0,0
9841,-2,0,0
9836,-2,0,0
9829,-2,-1,0
9832,-2,-1,0
9838,-2,-1,0
9845,-2,-2,0
9845,-2,-2,0
9841,-2,-2,0
9830,-2,-2,0
9804,0,-2,0
9800,4,-1,0
9818,6,0,0
9838,4,0,0
9847,0,0,0
9831,0,0,0
9842,0,0,0
9835,1,0,0
9843,-2,0,0
9859,-2,0,0
9855,-5,0,0
9857,-5,0,0
9851,-5,0,0
9836,-2,0,0
9842,-6,0,0
9836,-6,-1,0
9872,-6,-1,0
9872,-7,-2,0
9849,-11,-3,0
9858,-13,-4,0
9858,-15,-5,0
9879,-19,-6,0
9869,-21,-8,0
9867,-22,-9,0
9877,-22,-11,0
9841,-22,-12,0
9830,-22,-13,0
9838,-22,-14,0
9873,-22,-15,0
9866,-30,-17,0
9867,-31,-19,0
9872,-31,-20,0
9868,-31,-22,0
9877,-31,-23,0
9866,-31,-24,0
9878,-32,-25,0
9879,-32,-26,0
9857,-31,-27,0
9858,-31,-28,0
9830,-30,-28,0
9872,-31,-29,0
9868,-32,-29,0
9873,-32,-30,0
9879,-32,-31,0
9876,-36,-31,0
9880,-36,-31,0
9883,-37,-32,0
9874,-38,-32,0
9881,-38,-33,0
9863,-38,-33,0
9868,-37,-34,0
9858,-36,-34,0
9863,-36,-34,0
9887,-37,-35,0
9868,-37,-35,0
9868,-37,-35,0
9889,-38,-36,0
9881,-40,-36,0
9896,-40,-37,0
9878,-42,-37,0
9886,-42,-38,0
9883,-42,-38,0
9889,-45,-39,0
9877,-42,-39,0
9878,-42,-39,0
9881,-45,-40,0
9929,-45,-40,0
9891,-47,-41,0
9878,-45,-41,0
9892,-47,-42,0
9880,-47,-43,0
9882,-46,-43,0
9887,-47,-44,0
9868,-46,-44,0
9861,-46,-44,0
9868,-45,-45,0
9888,-45,-45,0
9890,-45,-45,0
9872,-45,-45,0
9897,-46,-45,0
9888,-51,-46,0
9881,-46,-46,0
9892,-46,-46,0
9892,-51,-46,0
9889,-51,-46,0
9886,-51,-47,0
9866,-51,-47,0
9862,-50,-47,0
9845,-50,-47,0
9869,-50,-48,0
9865,-50,-48,0
9834,-45,-48,0
9825,-36,-47,0
9820,-33,-47,0
9793,-30,-46,0
9796,-29,-44,0
9799,-26,-43,0
9775,-9,-40,0
9773,2,-37,0
9732,11,-33,0
9748,16,-28,0
9760,37,-22,0
9777,40,-16,0
9769,43,-10,0
9767,59,-3,0
9797,59,3,0
9775,61,11,0
9797,61,17,0
9805,61,23,0
9815,61,29,0
9801,61,35,0
9793,61,41,0
9786,59,46,0
9806,50,49,0
9822,43,51,0
9831,39,53,0
9828,39,53,0
9826,35,52,0
9846,31,52,0
9835,30,50,0
9844,21,47,0
9847,14,44,0
9842,10,41,0
9832,8,37,0
9820,8,33,0
9821,8,30,0
9844,5,26,0
9859,4,23,0
9856,1,19,0
9853,-6,16,0
9859,-8,13,0
9856,-8,10,0
9873,-10,7,0
9877,-11,4,0
9873,-17,1,0
9843,-17,-1,0
9828,-17,-3,0
9836,-17,-5,0
9857,-20,-7,0
9874,-20,-8,0
9853,-20,-10,0
9861,-21,-12,0
9872,-21,-14,0
9867,-23,-15,0
9872,-25,-17,0
9861,-25,-18,0
9868,-31,-19,0
9841,-25,-20,0
9832,-25,-21,0
9842,-21,-21,0
