Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9725,111,111,0,0
9716,120,120,0,0
9704,132,132,0,0
9745,91,91,0,0
9746,90,90,0,0
9734,102,102,0,0
9726,110,110,0,0
9753,83,83,0,0
9748,88,88,0,0
9734,102,102,0,0
9752,84,84,0,0
9748,88,88,0,0
9725,111,111,0,0
9720,116,116,0,0
9712,124,124,0,0
9743,93,93,0,0
9754,82,82,0,0
9736,100,100,0,0
9737,99,99,0,0
9728,108,108,0,0
9752,84,84,0,0
9744,92,92,0,0
9740,96,96,0,0
9748,88,88,0,0
9716,120,120,0,0
9718,118,118,0,0
9716,120,120,0,0
9747,89,89,0,0
9743,93,93,0,0
9754,82,82,0,0
9736,100,100,0,0
9760,76,76,0,0
9762,74,74,0,0
9737,99,99,0,0
9745,91,91,0,0
9752,84,84,0,0
9752,84,84,0,0
9741,95,95,0,0
9723,113,113,0,0
9744,92,92,0,0
9779,57,57,0,0
9757,79,79,0,0
9754,82,82,0,0
9761,75,75,0,0
9759,77,77,0,0
9769,67,67,0,0
9770,66,66,0,0
9770,66,66,0,0
9768,68,68,0,0
9763,73,73,0,0
9739,97,97,0,0
9745,91,91,0,0
9762,74,74,0,0
9751,85,85,0,0
9762,74,74,0,0
9775,61,61,0,0
9761,75,75,0,0
9773,63,63,0,0
9779,57,57,0,0
9777,59,59,0,0
9755,81,81,0,0
9762,74,74,0,0
9738,98,98,0,0
9759,77,77,0,0
9784,52,52,0,0
9777,59,59,0,0
9782,54,54,0,0
9773,63,63,0,0
9770,66,66,0,0
9785,51,51,0,0
9780,56,56,0,0
9777,59,59,0,0
9776,60,60,0,0
9758,78,78,0,0
9757,79,79,0,0
9765,71,71,0,0
9787,49,49,0,0
9769,67,67,0,0
9781,55,55,0,0
9780,56,56,0,0
9776,60,60,0,0
9772,64,64,0,0
9795,41,41,0,0
9793,43,43,0,0
9787,49,49,0,0
9791,45,45,0,0
9768,68,68,0,0
9741,95,95,0,0
9761,75,75,0,0
9785,51,51,0,0
9796,40,40,0,0
9774,62,62,0,0
9789,47,47,0,0
9786,50,50,0,0
9797,39,39,0,0
9783,53,53,0,0
9792,44,44,0,0
9792,44,44,0,0
9772,64,64,0,0
9761,75,75,0,0
9787,49,49,0,0
9808,28,28,0,0
9806,30,30,0,0
9776,60,60,0,0
9797,39,39,0,0
9789,47,47,0,0
9796,40,40,0,0
9792,44,44,0,0
9796,40,40,0,0
9803,33,33,0,0
9781,55,55,0,0
9767,69,69,0,0
9791,45,45,0,0
9794,42,42,0,0
9789,47,47,0,0
9807,29,29,0,0
9785,51,51,0,0
9793,43,43,0,0
9813,23,23,0,1
9798,38,38,0,0
9809,27,27,0,0
9789,47,47,0,0
9766,70,70,0,0
9766,70,70,0,0
9779,57,57,0,0
9795,41,41,0,0
9787,49,49,0,0
9768,68,68,0,0
9764,72,72,0,0
9749,87,87,0,0
9735,101,101,0,0
9724,112,112,0,0
9704,132,132,0,0
9690,146,146,0,0
9678,158,158,0,0
9646,190,190,0,0
9634,202,202,1,0
9651,185,185,0,0
9653,183,183,0,0
9651,185,185,0,0
9672,164,164,0,0
9667,169,169,0,0
9678,158,158,0,0
9672,164,164,0,0
9685,151,151,0,0
9694,142,142,0,0
9704,132,132,0,0
9688,148,148,0,0
9682,154,154,0,0
9725,111,111,0,0
9726,110,110,0,0
9731,105,105,0,0
9737,99,99,0,0
9740,96,96,0,0
9721,115,115,0,0
9737,99,99,0,0
9749,87,87,0,0
9754,82,82,0,0
9752,84,84,0,0
9731,105,105,0,0
9720,116,116,0,0
9726,110,110,0,0
9749,87,87,0,0
9730,106,106,0,0
9741,95,95,0,0
9740,96,96,0,0
9742,94,94,0,0
9749,87,87,0,0
9764,72,72,0,0
9766,70,70,0,0
9768,68,68,0,0
9764,72,72,0,0
9736,100,100,0,0
9739,97,97,0,0
9742,94,94,0,0
9756,80,80,0,0
9772,64,64,0,0
9767,69,69,0,0
9751,85,85,0,0
9758,78,78,0,0
9756,80,80,0,0
9751,85,85,0,0
9765,71,71,0,0
9773,63,63,0,0
9764,72,72,0,0
9737,99,99,0,0
9741,95,95,0,0
9780,56,56,0,0
9773,63,63,0,0
9763,73,73,0,0
9759,77,77,0,0
9758,78,78,0,0
9757,79,79,0,0
9765,71,71,0,0
9778,58,58,0,0
9763,73,73,0,0
9774,62,62,0,0
9765,71,71,0,0
9757,79,79,0,0
9739,97,97,0,0
9757,79,79,0,0
9764,72,72,0,0
9768,68,68,0,0
9764,72,72,0,0
9788,48,48,0,0
9773,63,63,0,0
9785,51,51,0,0
9769,67,67,0,0
9780,56,56,0,0
9784,52,52,0,0
9768,68,68,0,0
9757,79,79,0,0
9759,77,77,0,0
9782,54,54,0,0
9794,42,42,0,0
9771,65,65,0,0
9787,49,49,0,0
9790,46,46,0,0
9797,39,39,0,0
9797,39,39,0,0
9792,44,44,0,0
9801,35,35,0,0
9780,56,56,0,0
9768,68,68,0,0
9768,68,68,0,0
9771,65,65,0,0
9814,22,22,0,0
9801,35,35,0,0
9791,45,45,0,0
9797,39,39,0,0
9802,34,34,0,0
9808,28,28,0,0
9796,40,40,0,0
9809,27,27,0,0
9812,24,24,0,0
9804,32,32,0,0
9778,58,58,0,0
9770,66,66,0,0
9793,43,43,0,0
9801,35,35,0,0
9794,42,42,0,0
9797,39,39,0,0
9803,33,33,0,0
9794,42,42,0,0
9807,29,29,0,0
9811,25,25,0,0
9813,23,23,0,0
9790,46,46,0,0
9767,69,69,0,0
9791,45,45,0,0
9802,34,34,0,0
9810,26,26,0,0
9806,30,30,0,0
9806,30,30,0,0
9799,37,37,0,0
9805,31,31,0,0
9794,42,42,0,0
9800,36,36,0,0
9810,26,26,0,0
9822,14,14,0,0
9774,62,62,0,0
9782,54,54,0,0
9780,56,56,0,0
9812,24,24,0,0
9813,23,23,0,0
9812,24,24,0,0
9812,24,24,0,0
9799,37,37,0,0
9825,11,11,0,0
9829,7,7,0,0
9807,29,29,0,0
9818,18,18,0,0
9814,22,22,0,0
9788,48,48,0,0
9775,61,61,0,0
9811,25,25,0,0
9822,14,14,0,0
9809,27,27,0,0
9828,8,8,0,0
9811,25,25,0,0
9819,17,17,0,0
9819,17,17,0,0
9820,16,16,0,0
9824,12,12,0,0
9805,31,31,0,0
9798,38,38,0,0
9784,52,52,0,0
9793,43,43,0,0
9835,1,1,0,1
9805,31,31,0,0
9808,28,28,0,0
9813,23,23,0,0
9822,14,14,0,0
9827,9,9,0,0
9820,16,16,0,0
9822,14,14,0,0
9828,8,8,0,0
9797,39,39,0,0
9778,58,58,0,0
