Channel 1,Channel 2,Channel 3,Channel 4
9725,111,111,0
9716,115,113,0
9704,120,115,0
9745,115,115,0
9746,111,114,0
9734,106,113,0
9726,110,112,0
9753,106,111,0
9748,102,110,0
9734,102,109,0
9752,102,109,0
9748,96,108,0
9725,102,107,0
9720,102,107,0
9712,102,106,0
9743,102,106,0
9754,102,106,0
9736,101,105,0
9737,100,105,0
9728,101,105,0
9752,100,105,0
9744,99,104,0
9740,99,104,0
9748,97,104,0
9716,99,104,0
9718,99,103,0
9716,100,103,0
9747,99,103,0
9743,99,103,0
9754,97,103,0
9736,99,103,0
9760,97,102,0
9762,96,102,0
9737,97,102,0
9745,96,102,0
9752,94,102,0
9752,93,101,0
9741,94,101,0
9723,95,101,0
9744,94,101,0
9779,93,101,0
9757,93,100,0
9754,93,100,0
9761,92,100,0
9759,92,100,0
9769,92,100,0
9770,92,99,0
9770,91,99,0
9768,91,99,0
9763,91,99,0
9739,91,99,0
9745,91,98,0
9762,90,97,0
9751,89,97,0
9762,88,96,0
9775,88,96,0
9761,88,96,0
9773,88,95,0
9779,86,95,0
9777,84,95,0
9755,84,94,0
9762,84,94,0
9738,84,94,0
9759,84,93,0
9784,83,93,0
9777,82,93,0
9782,82,92,0
9773,81,92,0
9770,80,91,0
9785,78,91,0
9780,77,90,0
9777,76,90,0
9776,75,89,0
9758,75,89,0
9757,75,89,0
9765,75,88,0
9787,74,88,0
9769,74,87,0
9781,74,87,0
9780,74,86,0
9776,73,86,0
9772,72,85,0
9795,69,85,0
9793,67,84,0
9787,67,83,0
9791,66,83,0
9768,66,82,0
9741,66,82,0
9761,66,81,0
9785,66,81,0
9796,66,80,0
9774,66,79,0
9789,65,79,0
9786,63,78,0
9797,63,78,0
9783,62,77,0
9792,61,77,0
9792,60,76,0
9772,60,75,0
9761,60,75,0
9787,60,74,0
9808,59,73,0
9806,59,73,0
9776,59,72,0
9797,59,72,0
9789,58,71,0
9796,56,70,0
9792,56,70,0
9796,55,69,0
9803,54,69,0
9781,54,68,0
9767,54,67,0
9791,53,67,0
9794,52,66,0
9789,52,65,0
9807,51,65,0
9785,51,64,0
9793,50,64,0
9813,49,63,0
9798,49,62,0
9809,49,62,0
9789,48,61,0
9766,48,61,0
9766,48,60,0
9779,48,60,0
9795,47,59,0
9787,47,59,0
9768,47,58,0
9764,47,57,0
9749,47,57,0
9735,47,56,0
9724,47,56,0
9704,48,55,0
9690,49,55,0
9678,49,55,0
9646,49,54,0
9634,49,54,0
9651,49,54,0
9653,49,53,0
9651,49,53,0
9672,50,53,0
9667,50,52,0
9678,52,52,0
9672,54,52,0
9685,56,52,0
9694,58,52,0
9704,62,52,0
9688,66,52,0
9682,68,52,0
9725,68,52,0
9726,69,52,0
9731,70,53,0
9737,71,53,0
9740,79,53,0
9721,91,54,0
9737,97,55,0
9749,97,55,0
9754,97,56,0
9752,97,57,0
9731,99,58,0
9720,100,59,0
9726,103,60,0
9749,103,61,0
9730,105,62,0
9741,105,63,0
9740,105,64,0
9742,105,65,0
9749,105,66,0
9764,105,67,0
9766,105,69,0
9768,105,70,0
9764,105,71,0
9736,105,72,0
9739,105,73,0
9742,105,74,0
9756,105,75,0
9772,105,77,0
9767,105,78,0
9751,105,79,0
9758,105,80,0
9756,105,81,0
9751,102,82,0
9765,99,83,0
9773,99,84,0
9764,98,85,0
9737,98,86,0
9741,96,87,0
9780,96,88,0
9773,95,89,0
9763,95,90,0
9759,94,91,0
9758,94,92,0
9757,90,93,0
9765,87,93,0
9778,87,94,0
9763,86,94,0
9774,85,95,0
9765,84,95,0
9757,83,95,0
9739,83,96,0
9757,81,96,0
9764,80,96,0
9768,79,96,0
9764,79,96,0
9788,79,96,0
9773,78,96,0
9785,78,95,0
9769,77,95,0
9780,75,95,0
9784,73,94,0
9768,72,93,0
9757,72,93,0
9759,72,92,0
9782,72,92,0
9794,72,91,0
9771,72,90,0
9787,72,90,0
9790,71,89,0
9797,71,88,0
9797,71,88,0
9792,71,87,0
9801,71,86,0
9780,70,85,0
9768,68,85,0
9768,68,84,0
9771,68,83,0
9814,68,83,0
9801,68,82,0
9791,67,81,0
9797,66,80,0
9802,65,79,0
9808,64,79,0
9796,63,78,0
9809,63,77,0
9812,62,77,0
9804,60,76,0
9778,58,75,0
9770,60,74,0
9793,58,74,0
9801,57,73,0
9794,56,72,0
9797,55,71,0
9803,53,71,0
9794,51,70,0
9807,50,69,0
9811,48,68,0
9813,47,68,0
9790,46,67,0
9767,46,66,0
9791,45,65,0
9802,45,65,0
9810,44,64,0
9806,43,63,0
9806,42,62,0
9799,42,62,0
9805,42,61,0
9794,42,60,0
9800,41,59,0
9810,39,59,0
9822,39,58,0
9774,39,57,0
9782,39,57,0
9780,39,56,0
9812,39,55,0
9813,39,55,0
9812,38,54,0
9812,36,53,0
9799,36,53,0
9825,35,52,0
9829,35,51,0
9807,35,51,0
9818,34,50,0
9814,34,49,0
9788,34,48,0
9775,34,48,0
9811,33,47,0
9822,33,46,0
9809,32,46,0
9828,31,45,0
9811,30,44,0
9819,30,43,0
9819,30,43,0
9820,29,42,0
9824,29,41,0
9805,30,41,0
9798,30,40,0
9784,30,40,0
9793,30,39,0
9835,29,38,0
9805,29,38,0
9808,29,37,0
9813,28,37,0
9822,27,36,0
9827,26,36,0
9820,26,35,0
9822,26,35,0
9828,26,34,0
9797,26,34,0
9778,26,34,0
9778,26,33,0
9802,26,33,0
9770,26,32,0
9759,26,32,0
9762,26,32,0
9726,26,32,0
9712,26,31,0
9715,26,31,0
9703,26,31,0
9683,27,30,0
9689,28,30,0
9668,28,30,0
9711,28,30,0
9693,28,29,0
9685,30,29,0
9697,31,29,0
9710,32,29,0
9701,35,29,0
9706,36,29,0
9719,38,29,0
9747,41,29,0
9732,45,29,0
9732,50,30,0
9731,55,30,0
9722,58,31,0
9755,58,31,0
9757,62,32,0
9748,70,32,0
9772,70,33,0
9754,75,34,0
9753,78,35,0
9765,78,36,0
9754,80,37,0
9763,80,38,0
9766,80,39,0
9765,80,40,0
9741,81,41,0
9765,81,42,0
9770,81,43,0
9770,81,44,0
9764,81,45,0
9782,81,46,0
9772,81,47,0
9772,81,48,0
9781,81,49,0
9794,81,50,0
9777,81,52,0
9774,81,53,0
9739,82,54,0
9775,82,55,0
9788,82,56,0
9785,82,57,0
9771,82,58,0
9783,82,59,0
9767,82,61,0
9780,81,62,0
9788,80,63,0
9790,76,64,0
9778,72,65,0
9768,71,66,0
9746,71,66,0
9785,71,67,0
9774,71,68,0
9783,70,69,0
9764,70,70,0
9784,69,70,0
9776,68,71,0
9771,67,72,0
9804,66,72,0
9789,65,73,0
9787,65,73,0
9776,64,74,0
9757,64,74,0
9795,64,74,0
9783,64,74,0
9787,63,75,0
9769,63,75,0
9783,62,74,0
9785,61,74,0
9808,60,74,0
9815,60,74,0
9797,59,73,0
9802,58,73,0
9769,58,72,0
9779,57,72,0
9767,57,71,0
9786,56,71,0
9808,55,70,0
9788,54,70,0
9802,53,69,0
9822,53,69,0
9800,53,68,0
9808,53,68,0
9808,52,67,0
9813,51,66,0
9773,52,66,0
9794,51,65,0
9778,51,65,0
9807,51,64,0
9820,51,63,0
9791,51,63,0
9810,50,62,0
9820,49,61,0
9805,49,61,0
9811,48,60,0
9813,48,59,0
9821,47,59,0
9831,47,58,0
9802,46,58,0
9759,46,57,0
9802,43,57,0
9824,41,56,0
9826,40,55,0
9819,37,55,0
9814,35,54,0
9824,34,53,0
9807,34,53,0
9816,34,52,0
9822,34,51,0
9821,32,51,0
9797,32,50,0
9794,32,49,0
9802,32,49,0
9820,30,48,0
9810,29,47,0
9807,29,47,0
9818,28,46,0
9809,28,45,0
9809,28,45,0
9836,28,44,0
9817,28,43,0
9826,27,43,0
9811,27,42,0
9799,27,42,0
9804,27,41,0
9827,26,40,0
9828,26,40,0
9823,25,39,0
9821,25,39,0
9820,24,38,0
9800,25,37,0
9834,24,37,0
9826,23,36,0
9827,22,36,0
9824,21,35,0
9802,21,34,0
9804,21,34,0
9827,19,33,0
9842,18,32,0
9825,18,32,0
9824,17,31,0
9817,17,30,0
9810,18,30,0
9810,18,29,0
9787,18,29,0
9763,18,28,0
9758,19,27,0
9727,19,27,0
9716,19,26,0
9720,19,26,0
9705,19,25,0
9686,21,25,0
9709,23,25,0
9667,25,24,0
9676,26,24,0
9689,26,24,0
9687,26,24,0
9697,26,24,0
9704,27,24,0
9671,28,23,0
9672,28,23,0
9692,28,23,0
9716,28,23,0
9726,30,23,0
9729,32,23,0
9737,33,23,0
9741,35,24,0
9776,36,24,0
9767,43,24,0
9754,54,25,0
9744,64,25,0
9750,71,26,0
9717,75,27,0
9754,80,28,0
9773,80,29,0
9760,80,30,0
9758,80,31,0
9774,80,32,0
9766,80,34,0
9781,80,35,0
9788,80,36,0
9781,80,37,0
9788,80,38,0
9761,80,39,0
9758,80,40,0
9755,81,42,0
9793,81,43,0
9781,81,44,0
9784,81,45,0
9788,81,47,0
9769,81,48,0
9792,81,49,0
9789,81,50,0
9795,81,52,0
9787,81,53,0
9774,81,54,0
9765,81,55,0
9778,79,57,0
9806,78,58,0
9801,77,59,0
9782,75,60,0
9796,73,61,0
9783,70,62,0
9778,69,63,0
9805,68,64,0
9801,65,65,0
9800,62,65,0
9787,62,66,0
9762,62,67,0
9772,62,67,0
9806,61,68,0
9791,59,69,0
9777,58,69,0
9806,58,70,0
9789,56,70,0
9801,55,71,0
9801,55,71,0
9805,54,71,0
9803,53,72,0
9770,53,72,0
9784,52,71,0
9783,52,71,0
9795,52,71,0
9821,50,70,0
9791,49,69,0
9816,48,69,0
9812,48,68,0
9809,48,67,0
9820,47,67,0
9808,47,66,0
9819,46,65,0
9815,45,65,0
9804,44,64,0
9783,44,63,0
9815,43,63,0
9811,42,62,0
9810,41,61,0
9814,40,60,0
9813,38,59,0
9823,35,58,0
9812,35,57,0
9825,35,57,0
9830,35,56,0
9822,34,55,0
9845,32,54,0
9807,31,53,0
9811,31,52,0
9812,30,51,0
9829,30,50,0
9847,30,49,0
9810,29,48,0
9816,28,47,0
9820,27,46,0
9813,26,45,0
9827,26,44,0
9816,25,44,0
9836,25,43,0
9827,24,42,0
9839,24,41,0
9815,24,41,0
9828,23,40,0
9835,23,39,0
9826,22,38,0
9840,21,38,0
9820,21,37,0
9822,21,36,0
9840,20,36,0
9839,20,35,0
9854,20,34,0
9843,18,34,0
9834,16,33,0
9796,16,32,0
9797,16,31,0
9836,16,31,0
9846,16,30,0
9834,16,29,0
9845,15,29,0
9829,14,28,0
9826,13,27,0
9848,12,27,0
9849,10,26,0
9841,10,25,0
9836,9,25,0
9813,9,24,0
9816,9,23,0
9839,9,23,0
9850,8,22,0
9838,7,21,0
9832,7,21,0
9838,6,20,0
9846,5,19,0
9840,3,19,0
9845,2,18,0
9835,1,17,0
9851,1,17,0
9819,1,16,0
9812,1,16,0
9830,1,15,0
9841,1,14,0
9836,1,14,0
9829,1,13,0
9841,0,13,0
9844,0,12,0
9826,0,12,0
9852,0,11,0
9851,0,11,0
9851,-1,10,0
9847,-2,10,0
9820,-1,9,0
9824,-1,9,0
9845,-2,8,0
9859,-2,8,0
9833,-2,7,0
9839,-2,7,0
9848,-3,6,0
9844,-3,6,0
9843,-3,5,0
9835,-3,5,0
9819,-2,4,0
9773,-2,4,0
9748,-2,4,0
9768,-2,3,0
9771,-2,3,0
9756,-2,3,0
9733,-1,2,0
9742,-1,2,0
9713,0,2,0
9697,0,1,0
9719,0,1,0
9722,0,1,0
9722,1,1,0
9717,2,0,0
9718,3,0,0
9687,3,0,0
9741,3,0,0
9749,5,0,0
9735,6,0,0
9755,8,0,0
9770,11,0,0
9767,14,0,0
9791,16,0,0
9781,17,1,0
9787,20,1,0
9768,34,2,0
9770,47,3,0
9767,52,4,0
9797,52,5,0
9799,52,6,0
9789,52,7,0
9814,52,8,0
9791,52,9,0
9801,52,10,0
9797,52,11,0
9816,52,12,0
9807,52,13,0
9799,52,14,0
9778,56,15,0
9770,60,16,0
9795,60,18,0
9812,60,19,0
9810,60,20,0
9794,60,21,0
9826,60,23,0
9814,60,24,0
9836,60,25,0
9826,60,26,0
9816,60,28,0
9773,63,29,0
9791,63,30,0
9787,60,31,0
9824,56,33,0
9818,52,34,0
9814,49,35,0
9817,48,36,0
9806,46,37,0
9811,45,38,0
9817,45,38,0
9829,43,39,0
9818,41,40,0
9802,40,41,0
9799,39,42,0
9797,39,42,0
9835,38,43,0
9819,37,44,0
9812,37,44,0
9816,36,45,0
9841,34,46,0
9825,32,46,0
9832,29,46,0
9827,27,47,0
9828,25,47,0
9790,25,47,0
9786,25,47,0
9803,25,47,0
9831,24,47,0
9824,24,46,0
9818,23,45,0
9833,22,45,0
9812,22,44,0
9831,22,44,0
9833,21,43,0
9830,20,42,0
9818,20,42,0
9817,19,41,0
9800,19,40,0
9802,19,40,0
9812,19,39,0
9844,19,38,0
9830,19,37,0
9835,18,36,0
9829,18,36,0
9836,18,35,0
9830,18,34,0
9850,18,33,0
9845,18,32,0
9854,18,31,0
9841,17,31,0
9831,14,30,0
9807,14,29,0
9831,12,28,0
9852,11,27,0
9842,10,26,0
9844,8,25,0
9853,7,24,0
9848,7,24,0
9850,6,23,0
9862,6,22,0
9855,6,21,0
9837,5,20,0
9838,5,20,0
9812,5,19,0
9853,5,18,0
9866,5,18,0
9849,5,17,0
9839,4,16,0
9848,3,16,0
9859,3,15,0
9852,3,15,0
9858,2,14,0
9875,0,14,0
9861,0,13,0
9867,-1,13,0
9840,-2,12,0
9824,-2,11,0
9847,-3,11,0
9857,-4,10,0
9862,-5,10,0
9872,-7,9,0
9844,-8,9,0
9864,-8,8,0
9864,-8,7,0
9862,-10,7,0
9868,-11,6,0
9864,-12,6,0
9829,-12,5,0
9843,-12,4,0
9859,-12,4,0
9876,-13,3,0
9860,-14,2,0
9848,-14,2,0
9876,-15,1,0
9865,-16,0,0
9862,-16,0,0
9851,-16,0,0
9889,-17,-1,0
9872,-17,-1,0
9873,-18,-2,0
9830,-18,-3,0
9833,-18,-3,0
9867,-20,-4,0
9866,-21,-5,0
9861,-22,-5,0
9873,-23,-6,0
9861,-23,-6,0
9856,-23,-7,0
9867,-24,-8,0
9874,-24,-8,0
9868,-25,-9,0
9861,-25,-9,0
9839,-25,-10,0
9832,-25,-11,0
9860,-25,-11,0
9881,-25,-12,0
9878,-25,-12,0
9872,-25,-13,0
9884,-26,-14,0
9869,-26,-14,0
9870,-27,-15,0
9882,-28,-15,0
9882,-28,-16,0
9868,-28,-17,0
9860,-28,-17,0
9864,-28,-18,0
9874,-28,-18,0
9882,-28,-19,0
9879,-29,-19,0
9879,-30,-20,0
9877,-30,-20,0
9870,-31,-21,0
9878,-31,-21,0
9883,-32,-21,0
9887,-32,-22,0
9872,-32,-22,0
9840,-32,-23,0
9847,-32,-23,0
9839,-32,-24,0
9835,-32,-24,0
9817,-32,-24,0
9791,-32,-25,0
9783,-32,-25,0
9789,-31,-25,0
9762,-31,-26,0
9751,-31,-26,0
9741,-31,-26,0
9747,-31,-27,0
9723,-30,-27,0
9704,-29,-27,0
9724,-29,-27,0
9745,-29,-27,0
9745,-26,-28,0
9746,-25,-28,0
9760,-25,-28,0
9763,-24,-28,0
9787,-24,-28,0
9779,-24,-28,0
9789,-17,-28,0
9800,-7,-27,0
9775,-3,-27,0
9767,-3,-26,0
9783,-1,-26,0
9809,-1,-25,0
9817,10,-25,0
9807,19,-24,0
9822,19,-23,0
9813,21,-22,0
9813,23,-21,0
9833,23,-20,0
9832,23,-19,0
9832,23,-18,0
9799,25,-17,0
9813,25,-16,0
9795,28,-15,0
9801,32,-14,0
9835,32,-12,0
9842,32,-11,0
9837,32,-10,0
9817,32,-9,0
9830,32,-8,0
9824,32,-6,0
9850,32,-5,0
9846,32,-4,0
9849,32,-2,0
9835,32,-1,0
9820,32,0,0
9814,32,0,0
9845,32,2,0
9857,32,3,0
9823,32,4,0
9851,28,5,0
9838,25,7,0
9838,23,8,0
9849,23,9,0
9838,22,10,0
9841,20,11,0
9824,19,12,0
9809,19,13,0
9809,19,14,0
9841,17,15,0
9836,15,16,0
9829,13,16,0
9832,12,17,0
9838,12,18,0
9845,9,18,0
9845,6,19,0
9841,5,20,0
9830,5,20,0
9804,5,20,0
9800,5,20,0
9818,5,21,0
9838,4,21,0
9847,4,21,0
9831,4,21,0
9842,3,20,0
9835,2,20,0
9843,1,20,0
9859,1,19,0
9855,0,19,0
9857,0,18,0
9851,-1,18,0
9836,-1,17,0
9842,-2,17,0
9836,-2,16,0
9872,-2,15,0
9872,-2,15,0
9849,-2,14,0
9858,-2,13,0
9858,-3,13,0
9879,-5,12,0
9869,-5,11,0
9867,-5,11,0
9877,-5,10,0
9841,-5,9,0
9830,-5,8,0
9838,-5,8,0
9873,-5,7,0
9866,-5,6,0
9867,-5,5,0
9872,-5,5,0
9868,-5,4,0
9877,-6,3,0
9866,-6,3,0
9878,-6,2,0
9879,-8,2,0
9857,-9,1,0
9858,-10,0,0
9830,-10,0,0
9872,-12,0,0
9868,-14,0,0
9873,-17,-1,0
9879,-20,-2,0
9876,-21,-2,0
9880,-21,-3,0
9883,-22,-4,0
9874,-22,-4,0
9881,-22,-5,0
9863,-25,-5,0
9868,-28,-6,0
9858,-28,-7,0
9863,-28,-7,0
9887,-30,-8,0
9868,-30,-9,0
9868,-31,-9,0
9889,-31,-10,0
9881,-32,-11,0
9896,-32,-11,0
9878,-32,-12,0
9886,-32,-13,0
9883,-32,-13,0
9889,-34,-14,0
9877,-36,-15,0
9878,-36,-15,0
9881,-36,-16,0
9929,-36,-17,0
9891,-37,-17,0
9878,-37,-18,0
9892,-39,-19,0
9880,-40,-20,0
9882,-40,-20,0
9887,-41,-21,0
9868,-41,-22,0
9861,-40,-23,0
9868,-40,-23,0
9888,-41,-24,0
9890,-41,-25,0
9872,-41,-25,0
9897,-42,-26,0
9888,-42,-27,0
9881,-42,-28,0
9892,-42,-28,0
9892,-43,-29,0
9889,-43,-30,0
9886,-44,-31,0
9866,-44,-31,0
9862,-44,-32,0
9845,-44,-33,0
9869,-44,-33,0
9865,-44,-34,0
9834,-44,-35,0
9825,-44,-35,0
9820,-44,-36,0
9793,-44,-36,0
9796,-43,-37,0
9799,-42,-37,0
9775,-42,-37,0
9773,-42,-38,0
9732,-42,-38,0
9748,-42,-38,0
9760,-42,-39,0
9777,-42,-39,0
9769,-41,-39,0
9767,-41,-39,0
9797,-41,-40,0
9775,-38,-40,0
9797,-34,-40,0
9805,-32,-40,0
9815,-32,-40,0
9801,-31,-40,0
9793,-29,-40,0
9786,-27,-39,0
9806,-25,-39,0
9822,-17,-39,0
9831,-3,-38,0
9828,3,-37,0
9826,6,-37,0
9846,6,-36,0
9835,6,-35,0
9844,6,-34,0
9847,6,-33,0
9842,6,-32,0
9832,6,-31,0
9820,9,-30,0
9821,10,-29,0
9844,10,-28,0
9859,10,-27,0
9856,10,-26,0
9853,10,-25,0
9859,10,-24,0
9856,10,-23,0
9873,10,-22,0
9877,10,-21,0
9873,10,-20,0
9843,10,-19,0
9828,10,-18,0
9836,10,-17,0
9857,10,-15,0
9874,10,-14,0
9853,10,-13,0
9861,10,-12,0
9872,9,-11,0
9867,8,-10,0
9872,6,-9,0
9861,4,-8,0
9868,2,-7,0
9841,0,-6,0
9832,0,-6,0
9842,-2,-5,0
9885,-5,-4,0
9874,-6,-3,0
9855,-6,-3,0
9852,-7,-2,0
9879,-8,-1,0
9854,-9,-1,0
9854,-10,0,0
