Channel 1,Channel 2, Channel 3
9849,-27,-26
9839,-21,-25
9875,-23,-24
9880,-26,-24
9869,-36,-26
9884,-41,-31
9860,-38,-35
9847,-28,-35
9880,-34,-35
9876,-32,-33
9881,-42,-34
9867,-42,-37
9835,-35,-37
9850,-22,-35
9863,-20,-29
9881,-20,-24
9887,-36,-24
9875,-42,-29
9886,-47,-36
9885,-49,-43
9874,-44,-45
9880,-46,-46
9861,-41,-45
9878,-40,-42
9866,-36,-40
9841,-27,-36
9847,-20,-30
9841,-8,-22
9878,-8,-15
9890,-26,-15
9865,-35,-19
9875,-40,-27
9872,-37,-34
9865,-32,-36
9871,-35,-36
9873,-35,-34
9874,-36,-34
9864,-36,-35
9857,-32,-34
9832,-24,-32
9891,-24,-29
9879,-32,-28
9877,-42,-30
9886,-46,-36
9882,-44,-41
9876,-43,-43
9878,-44,-44
9888,-44,-43
9893,-47,-44
9875,-47,-45
9852,-45,-45
9858,-30,-42
9901,-30,-38
9906,-43,-37
9913,-67,-42
9906,-70,-52
9903,-70,-62
9901,-68,-68
9908,-68,-69
9901,-66,-68
9906,-67,-67
9898,-67,-67
9900,-64,-66
9872,-63,-65
9864,-49,-60
9887,-43,-54
9911,-43,-49
9905,-60,-48
9894,-63,-52
9905,-69,-58
9888,-63,-63
9898,-60,-63
9900,-63,-63
9910,-63,-62
9882,-63,-62
9870,-55,-61
9879,-44,-56
9919,-44,-51
9913,-60,-50
9909,-75,-55
9919,-80,-64
9911,-76,-72
9892,-74,-76
9907,-73,-75
9910,-72,-73
9927,-72,-72
9911,-74,-72
9911,-75,-73
9897,-75,-74
9886,-68,-73
9926,-68,-71
9925,-75,-71
9896,-74,-71
9907,-80,-74
9923,-79,-77
9917,-76,-77
9917,-81,-79
9917,-81,-79
9923,-81,-79
9906,-81,-81
9893,-75,-79
9896,-65,-75
9921,-65,-71
9922,-72,-69
9893,-72,-68
9908,-78,-71
9903,-69,-72
9904,-67,-71
9891,-67,-70
9898,-64,-66
9871,-58,-64
9832,-45,-58
9849,-24,-47
9841,-9,-34
9829,0,-19
9826,1,-8
9793,8,0
9786,26,8
9772,46,20
9763,57,34
9766,67,49
9771,67,59
9774,67,64
9741,67,67
9735,80,70
9756,87,75
9783,87,80
9762,77,82
9771,69,80
9779,61,73
9772,64,67
9804,60,63
9805,44,57
9812,31,49
9806,30,41
9820,27,33
9802,27,28
9816,25,27
9819,18,24
9831,18,22
9831,11,18
9835,5,13
9834,3,9
9824,3,5
9836,1,3
9839,1,2
9837,0,1
9821,0,0
9834,0,0
9813,8,2
9814,18,6
9826,16,10
9839,16,14
9839,3,13
9841,-3,8
9844,-4,3
9853,-6,-2
9847,-9,-5
9846,-10,-7
9837,-10,-8
9854,-10,-9
9827,-5,-8
9839,-2,-6
9868,-10,-6
9841,-4,-5
9844,-6,-5
9856,-14,-8
9832,-6,-7
9860,-14,-10
9864,-22,-14
9857,-22,-16
9856,-22,-20
9835,-20,-21
9816,-9,-18
9854,-8,-14
9868,-8,-11
9856,-19,-11
9858,-21,-14
9860,-23,-17
9852,-21,-21
9836,-19,-21
9865,-20,-20
9865,-22,-20
9862,-27,-22
9856,-27,-24
9831,-23,-24
9840,-12,-22
9855,-11,-18
9858,-11,-14
9858,-20,-13
9864,-22,-16
9853,-22,-18
9852,-19,-20
9875,-22,-21
9869,-25,-22
9868,-32,-24
9870,-33,-28
9877,-33,-30
9847,-33,-32
9887,-37,-34
9885,-45,-37
9889,-50,-41
9888,-51,-45
9888,-52,-49
9890,-52,-51
9879,-52,-51
9901,-53,-52
9892,-55,-53
9899,-59,-54
9866,-59,-56
9858,-43,-54
9857,-26,-46
9885,-26,-38
9895,-35,-32
9868,-40,-31
9890,-51,-38
9887,-52,-44
9877,-46,-47
9904,-52,-50
9884,-49,-49
9887,-49,-49
9877,-49,-49
9862,-44,-47
9869,-37,-44
9883,-37,-41
9888,-40,-39
9880,-45,-39
9875,-45,-41
9886,-47,-44
9890,-47,-46
9894,-52,-47
9881,-52,-49
9891,-54,-51
9892,-55,-53
9887,-53,-53
9889,-54,-54
9884,-52,-53
9879,-49,-52
9896,-50,-51
9876,-45,-49
9899,-51,-48
9899,-61,-51
9909,-63,-55
9882,-63,-59
9877,-54,-60
9851,-43,-55
9878,-41,-50
9895,-41,-44
9889,-47,-43
9885,-51,-45
9884,-51,-47
9900,-51,-50
9892,-52,-51
9890,-55,-52
9899,-59,-54
9888,-55,-55
9865,-53,-55
9872,-44,-52
9879,-39,-47
9902,-39,-43
9891,-49,-42
