Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
8977,270,270,0,0
8967,275,272,0,0
9008,270,271,0,0
9046,254,267,0,0
9070,239,261,0,0
9017,230,253,0,0
8887,230,244,0,0
9024,223,235,0,0
9026,223,229,0,0
8976,230,227,0,0
9004,243,229,0,0
9057,223,228,0,0
9033,221,228,0,0
8914,243,232,0,0
9044,214,228,0,0
9054,203,220,0,0
9018,214,219,0,0
9042,205,215,0,0
8959,205,208,0,0
8917,229,211,0,0
9102,229,216,0,0
8888,288,231,0,0
9000,288,247,0,0
9094,247,256,0,0
9012,235,257,0,0
8951,247,261,0,0
8967,247,252,0,0
9023,235,242,0,0
9032,235,239,0,0
9058,224,237,0,0
8933,224,233,0,0
8983,224,228,0,0
9075,215,224,0,0
8915,264,230,0,0
8958,289,243,0,0
8947,289,256,0,0
8926,300,271,0,0
8940,307,289,0,0
9041,300,297,0,0
9134,300,299,0,0
9082,206,282,0,0
9038,206,263,0,0
8936,206,243,0,0
9057,190,221,0,0
9123,190,199,0,0
8977,209,200,0,0
9051,196,198,0,0
9056,191,195,0,0
9019,196,196,0,0
9100,196,197,0,0
8962,196,195,0,0
9052,195,194,0,0
9074,195,195,0,0
9039,195,195,0,0
8916,208,197,0,0
9073,195,197,0,0
9130,174,193,0,0
9043,204,195,0,0
9062,185,193,0,0
8901,185,188,0,0
9008,204,190,0,0
9086,204,196,0,0
9016,231,201,0,0
8981,239,212,0,0
9044,231,221,0,0
9054,203,221,0,0
8945,231,227,0,0
9058,203,221,0,0
9193,193,212,0,0
9069,189,203,0,0
9072,178,198,0,0
9071,176,187,0,0
9097,175,182,0,0
9033,176,178,0,0
9136,175,176,0,0
8981,176,175,0,0
8965,214,183,0,0
9011,236,195,0,0
9240,236,207,0,0
9145,236,219,0,0
9017,230,230,0,0
9151,102,208,0,0
9072,102,181,0,0
9011,175,169,0,0
9095,175,156,0,0
9152,152,141,0,0
9100,152,151,0,0
9083,152,161,0,0
8993,152,156,0,0
9028,164,154,0,0
9242,164,156,0,0
8951,219,170,0,0
9087,219,183,0,0
9074,173,187,0,0
9114,160,187,0,0
9212,160,186,0,0
9057,160,174,0,0
9078,169,164,0,0
9171,133,156,0,0
9097,150,154,0,0
8932,169,156,0,0
9063,169,158,0,0
9232,150,154,0,0
9054,184,164,0,0
9076,184,171,0,0
9083,171,171,0,0
9071,171,172,0,0
9151,171,176,0,0
9140,164,172,0,0
9133,114,158,0,0
9184,107,145,0,0
9091,107,132,0,0
8991,114,121,0,0
9094,153,119,0,0
9206,153,126,0,0
9137,153,136,0,0
9070,153,145,0,0
9079,153,153,0,0
9120,127,147,0,0
9132,127,142,0,0
9154,127,137,0,0
9223,115,129,0,0
9201,93,117,0,0
9175,72,106,0,0
9059,72,95,0,0
9126,72,84,0,0
9151,96,81,0,0
9134,113,85,0,0
9091,121,94,0,0
9007,121,104,0,0
9046,156,121,0,0
9350,156,133,0,0
8977,201,151,0,0
9168,201,167,0,0
9175,79,158,0,0
9127,79,143,0,0
8975,120,136,0,0
9155,92,114,0,0
9175,92,92,0,0
9111,120,100,0,0
9084,136,112,0,0
8983,136,115,0,0
9058,163,129,0,0
9226,163,143,0,0
9117,163,152,0,0
9085,162,157,0,0
9167,130,156,0,0
9058,130,149,0,0
8949,162,149,0,0
9066,181,153,0,0
9177,181,156,0,0
9061,186,168,0,0
9028,186,179,0,0
8904,186,184,0,0
9033,214,190,0,0
9097,214,197,0,0
9055,214,202,0,0
9004,214,208,0,0
8851,214,214,0,0
8924,243,219,0,0
8947,300,237,0,0
9023,300,254,0,0
9046,300,271,0,0
9008,239,276,0,0
8883,239,275,0,0
8851,239,263,0,0
8975,272,257,0,0
9048,272,252,0,0
8986,272,258,0,0
8998,261,263,0,0
