Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
8977,270,270,0,0
8967,280,280,0,0
9008,239,239,0,0
9046,201,201,0,0
9070,177,177,0,0
9017,230,230,0,0
8887,360,360,1,0
9024,223,223,0,0
9026,221,221,0,0
8976,271,271,0,0
9004,243,243,0,0
9057,190,190,0,1
9033,214,214,0,0
8914,333,333,1,0
9044,203,203,0,0
9054,193,193,0,0
9018,229,229,0,0
9042,205,205,0,0
8959,288,288,0,0
8917,330,330,0,0
9102,145,145,0,1
8888,359,359,1,0
9000,247,247,0,0
9094,153,153,0,0
9012,235,235,0,0
8951,296,296,0,0
8967,280,280,0,0
9023,224,224,0,0
9032,215,215,0,0
9058,189,189,0,0
8933,314,314,0,0
8983,264,264,0,0
9075,172,172,0,1
8915,332,332,1,0
8958,289,289,0,0
8947,300,300,0,0
8926,321,321,0,0
8940,307,307,0,0
9041,206,206,0,0
9134,113,113,0,1
9082,165,165,0,0
9038,209,209,0,0
8936,311,311,1,0
9057,190,190,0,0
9123,124,124,0,0
8977,270,270,0,0
9051,196,196,0,0
9056,191,191,0,0
9019,228,228,0,0
9100,147,147,0,0
8962,285,285,0,0
9052,195,195,0,0
9074,173,173,0,0
9039,208,208,0,0
8916,331,331,0,0
9073,174,174,0,0
9130,117,117,0,1
9043,204,204,0,0
9062,185,185,0,0
8901,346,346,1,0
9008,239,239,0,0
9086,161,161,0,0
9016,231,231,0,0
8981,266,266,0,0
9044,203,203,0,0
9054,193,193,0,0
8945,302,302,1,0
9058,189,189,0,0
9193,54,54,0,1
9069,178,178,0,0
9072,175,175,0,0
9071,176,176,0,0
9097,150,150,0,0
9033,214,214,0,0
9136,111,111,0,0
8981,266,266,0,0
8965,282,282,1,0
9011,236,236,0,0
9240,7,7,0,1
9145,102,102,0,0
9017,230,230,0,0
9151,96,96,0,0
9072,175,175,0,0
9011,236,236,0,0
9095,152,152,0,0
9152,95,95,0,0
9100,147,147,0,0
9083,164,164,0,0
8993,254,254,0,0
9028,219,219,0,0
9242,5,5,0,1
8951,296,296,1,0
9087,160,160,0,0
9074,173,173,0,0
9114,133,133,0,0
9212,35,35,0,0
9057,190,190,0,0
9078,169,169,0,0
9171,76,76,0,0
9097,150,150,0,0
8932,315,315,1,0
9063,184,184,0,0
9232,15,15,0,1
9054,193,193,0,0
9076,171,171,0,0
9083,164,164,0,0
9071,176,176,0,0
9151,96,96,0,0
9140,107,107,0,0
9133,114,114,0,0
9184,63,63,0,0
9091,156,156,0,0
8991,256,256,1,0
9094,153,153,0,0
9206,41,41,0,1
9137,110,110,0,0
9070,177,177,0,0
9079,168,168,0,0
9120,127,127,0,0
9132,115,115,0,0
9154,93,93,0,0
9223,24,24,0,1
9201,46,46,0,0
9175,72,72,0,0
9059,188,188,0,0
9126,121,121,0,0
9151,96,96,0,0
9134,113,113,0,0
9091,156,156,0,0
9007,240,240,0,0
9046,201,201,0,0
9350,-103,-103,0,1
8977,270,270,0,0
9168,79,79,0,0
9175,72,72,0,0
9127,120,120,0,0
8975,272,272,1,0
9155,92,92,0,0
9175,72,72,0,0
9111,136,136,0,0
9084,163,163,0,0
8983,264,264,0,0
9058,189,189,0,0
9226,21,21,0,1
9117,130,130,0,0
9085,162,162,0,0
9167,80,80,0,0
9058,189,189,0,0
8949,298,298,0,0
9066,181,181,0,0
9177,70,70,0,1
9061,186,186,0,0
9028,219,219,0,0
8904,343,343,0,0
9033,214,214,0,0
9097,150,150,0,0
9055,192,192,0,0
9004,243,243,0,0
8851,396,396,1,0
8924,323,323,0,0
8947,300,300,0,0
9023,224,224,0,0
9046,201,201,0,0
9008,239,239,0,0
8883,364,364,0,0
8851,396,396,0,0
8975,272,272,0,0
9048,199,199,0,0
8986,261,261,0,0
8998,249,249,0,0
8786,461,461,1,0
9031,216,216,0,0
9073,174,174,0,1
8889,358,358,0,0
8949,298,298,0,0
8997,250,250,0,0
8893,354,354,0,0
8822,425,425,0,0
8964,283,283,0,0
8993,254,254,0,0
8930,317,317,0,0
8952,295,295,0,0
8778,469,469,1,0
8887,360,360,0,0
9006,241,241,0,0
8906,341,341,0,0
9024,223,223,0,1
8938,309,309,0,0
8915,332,332,0,0
8911,336,336,0,0
8919,328,328,0,0
8911,336,336,0,0
8958,289,289,0,0
8911,336,336,0,0
