Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
8977,270,270,0,0
8967,275,272,0,0
9008,270,271,0,0
9046,254,267,0,0
9070,239,261,0,0
9017,234,257,0,0
8887,239,254,0,0
9024,234,251,0,0
9026,226,246,0,0
8976,226,240,0,0
9004,226,234,0,0
9057,226,231,0,0
9033,226,229,0,0
8914,233,229,0,0
9044,222,227,0,0
9054,217,225,0,0
9018,221,224,0,0
9042,209,222,0,0
8959,209,220,0,0
8917,221,219,0,0
9102,217,218,0,0
8888,217,216,0,0
9000,238,218,0,0
9094,238,221,0,0
9012,241,223,0,0
8951,267,231,0,0
8967,263,237,0,0
9023,241,240,0,0
9032,241,243,0,0
9058,229,244,0,0
8933,229,243,0,0
8983,249,245,0,0
9075,244,245,0,0
8915,244,242,0,0
8958,244,240,0,0
8947,276,244,0,0
8926,294,251,0,0
8940,303,260,0,0
9041,294,268,0,0
9134,294,274,0,0
9082,294,280,0,0
9038,249,281,0,0
8936,254,282,0,0
9057,207,273,0,0
9123,198,261,0,0
8977,198,248,0,0
9051,193,235,0,0
9056,193,223,0,0
9019,202,211,0,0
9100,193,204,0,0
8962,193,197,0,0
9052,195,195,0,0
9074,195,195,0,0
9039,195,194,0,0
8916,201,195,0,0
9073,201,196,0,0
9130,184,194,0,0
9043,199,195,0,0
9062,190,195,0,0
8901,194,194,0,0
9008,206,196,0,0
9086,194,196,0,0
9016,194,195,0,0
8981,217,197,0,0
9044,217,201,0,0
9054,217,203,0,0
8945,235,209,0,0
9058,217,212,0,0
9193,198,211,0,0
9069,198,211,0,0
9072,191,211,0,0
9071,183,207,0,0
9097,177,202,0,0
9033,177,197,0,0
9136,175,189,0,0
8981,175,184,0,0
8965,177,181,0,0
9011,195,181,0,0
9240,195,181,0,0
9145,182,181,0,0
9017,222,187,0,0
9151,170,186,0,0
9072,202,189,0,0
9011,202,193,0,0
9095,163,191,0,0
9152,127,182,0,0
9100,149,177,0,0
9083,158,174,0,0
8993,158,166,0,0
9028,169,166,0,0
9242,158,160,0,0
8951,158,155,0,0
9087,162,154,0,0
9074,168,160,0,0
9114,168,162,0,0
9212,166,163,0,0
9057,166,164,0,0
9078,164,163,0,0
9171,164,164,0,0
9097,155,164,0,0
8932,159,163,0,0
9063,159,162,0,0
9232,159,161,0,0
9054,176,162,0,0
9076,170,163,0,0
9083,167,163,0,0
9071,173,164,0,0
9151,173,167,0,0
9140,167,168,0,0
9133,139,165,0,0
9184,139,163,0,0
9091,135,157,0,0
8991,135,153,0,0
9094,133,149,0,0
9206,110,141,0,0
9137,112,133,0,0
9070,133,129,0,0
9079,154,131,0,0
9120,154,133,0,0
9132,140,133,0,0
9154,121,132,0,0
9223,112,129,0,0
9201,112,129,0,0
9175,104,128,0,0
9059,104,125,0,0
9126,104,118,0,0
9151,94,111,0,0
9134,94,105,0,0
9091,104,103,0,0
9007,117,104,0,0
9046,138,107,0,0
9350,138,111,0,0
8977,138,115,0,0
9168,134,119,0,0
9175,134,124,0,0
9127,138,130,0,0
8975,160,137,0,0
9155,106,135,0,0
9175,85,129,0,0
9111,106,125,0,0
9084,106,121,0,0
8983,128,120,0,0
9058,149,122,0,0
9226,149,123,0,0
9117,133,120,0,0
9085,149,125,0,0
9167,149,133,0,0
9058,162,140,0,0
8949,175,149,0,0
9066,171,154,0,0
9177,146,154,0,0
9061,171,157,0,0
9028,183,163,0,0
8904,187,168,0,0
9033,201,174,0,0
9097,200,179,0,0
9055,189,181,0,0
9004,203,185,0,0
8851,216,193,0,0
8924,231,201,0,0
8947,271,212,0,0
9023,233,218,0,0
9046,233,222,0,0
9008,241,227,0,0
8883,271,237,0,0
8851,311,250,0,0
8975,286,259,0,0
9048,255,262,0,0
8986,250,260,0,0
8998,255,262,0,0
