Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
8977,270,270,0,0
8967,275,272,0,0
9008,270,271,0,0
9046,254,267,0,0
9070,239,261,0,0
9017,234,257,0,0
8887,234,251,0,0
9024,226,242,0,0
9026,222,234,0,0
8976,226,230,0,0
9004,236,229,0,0
9057,233,229,0,0
9033,222,227,0,0
8914,232,228,0,0
9044,228,229,0,0
9054,208,226,0,0
9018,208,221,0,0
9042,209,217,0,0
8959,217,217,0,0
8917,217,214,0,0
9102,217,212,0,0
8888,258,221,0,0
9000,267,230,0,0
9094,267,240,0,0
9012,241,244,0,0
8951,241,248,0,0
8967,263,256,0,0
9023,241,253,0,0
9032,229,247,0,0
9058,229,240,0,0
8933,252,242,0,0
8983,244,243,0,0
9075,219,235,0,0
8915,239,235,0,0
8958,276,243,0,0
8947,294,254,0,0
8926,294,261,0,0
8940,303,270,0,0
9041,303,284,0,0
9134,294,294,0,0
9082,253,290,0,0
9038,207,275,0,0
8936,207,261,0,0
9057,198,243,0,0
9123,177,222,0,0
8977,199,206,0,0
9051,202,198,0,0
9056,193,196,0,0
9019,193,193,0,0
9100,193,192,0,0
8962,212,198,0,0
9052,195,198,0,0
9074,193,196,0,0
9039,201,197,0,0
8916,201,199,0,0
9073,201,200,0,0
9130,184,195,0,0
9043,189,194,0,0
9062,194,195,0,0
8901,194,193,0,0
9008,194,192,0,0
9086,194,191,0,0
9016,217,197,0,0
8981,235,204,0,0
9044,235,211,0,0
9054,217,215,0,0
8945,217,219,0,0
9058,217,223,0,0
9193,198,219,0,0
9069,191,212,0,0
9072,183,203,0,0
9071,177,197,0,0
9097,175,190,0,0
9033,175,183,0,0
9136,175,179,0,0
8981,175,176,0,0
8965,195,178,0,0
9011,225,186,0,0
9240,225,195,0,0
9145,173,194,0,0
9017,233,204,0,0
9151,166,202,0,0
9072,138,193,0,0
9011,138,178,0,0
9095,163,168,0,0
9152,163,166,0,0
9100,149,152,0,0
9083,158,151,0,0
8993,158,154,0,0
9028,158,158,0,0
9242,155,156,0,0
8951,191,161,0,0
9087,191,168,0,0
9074,196,174,0,0
9114,166,176,0,0
9212,146,174,0,0
9057,166,176,0,0
9078,164,171,0,0
9171,151,164,0,0
9097,141,155,0,0
8932,159,154,0,0
9063,176,159,0,0
9232,159,158,0,0
9054,167,158,0,0
9076,177,163,0,0
9083,177,169,0,0
9071,173,171,0,0
9151,167,170,0,0
9140,167,171,0,0
9133,139,166,0,0
9184,110,155,0,0
9091,110,144,0,0
8991,110,133,0,0
9094,133,128,0,0
9206,133,122,0,0
9137,131,121,0,0
9070,154,128,0,0
9079,160,136,0,0
9120,140,141,0,0
9132,121,139,0,0
9154,121,137,0,0
9223,121,136,0,0
9201,104,127,0,0
9175,82,114,0,0
9059,82,105,0,0
9126,82,98,0,0
9151,84,92,0,0
9134,104,89,0,0
9091,117,91,0,0
9007,138,101,0,0
9046,138,110,0,0
9350,134,119,0,0
8977,178,134,0,0
9168,178,147,0,0
9175,140,151,0,0
9127,99,144,0,0
8975,99,138,0,0
9155,106,133,0,0
9175,85,117,0,0
9111,106,105,0,0
9084,128,103,0,0
8983,149,112,0,0
9058,149,120,0,0
9226,149,127,0,0
9117,149,138,0,0
9085,162,147,0,0
9167,146,150,0,0
9058,146,150,0,0
8949,146,149,0,0
9066,171,153,0,0
9177,171,157,0,0
9061,183,160,0,0
9028,187,167,0,0
8904,202,176,0,0
9033,200,185,0,0
9097,200,190,0,0
9055,203,195,0,0
9004,216,201,0,0
8851,228,208,0,0
8924,228,212,0,0
8947,271,224,0,0
9023,271,236,0,0
9046,271,247,0,0
9008,269,256,0,0
8883,269,263,0,0
8851,269,270,0,0
8975,255,267,0,0
9048,255,264,0,0
8986,266,263,0,0
8998,266,263,0,0
